A->A,A	AMNSPQIO->AMNSPQIO,AMNSPQIO	AMSPIO->AMSPIO,AMSPIO	AMSPQ->AMSPQ,AMSPQ	AMSPQI->AMSPQI,AMSPQI	AN->AN,AN	ANP->ANP,ANP	ANPIO->ANPIO,ANPIO	ANSPI->ANSPI,ANSPI	ANSPIO->ANSPIO,ANSPIO	ANSQI->ANSQI,ANSQI	AP->AP,AP	ASI->ASI,ASI	I->I,I	IO->IO,IO	M->M,M	MI->MI,MI	MN->MN,MN	MNI->MNI,MNI	MNPI->MNPI,MNPI	MNPQI->MNPQI,MNPQI	MNPQO->MNPQO,MNPQO	MNQ->MNQ,MNQ	MNQI->MNQI,MNQI	MNSP->MNSP,MNSP	MNSPIO->MNSPIO,MNSPIO	MNSPO->MNSPO,MNSPO	MNSPQI->MNSPQI,MNSPQI	MNSQ->MNSQ,MNSQ	MNSQI->MNSQI,MNSQI	MO->MO,MO	MP->MP,MP	MPI->MPI,MPI	MPQ->MPQ,MPQ	MPQI->MPQI,MPQI	MQ->MQ,MQ	MQI->MQI,MQI	MS->MS,MS	MSO->MSO,MSO	MSP->MSP,MSP	MSPI->MSPI,MSPI	MSPIO->MSPIO,MSPIO	MSPQ->MSPQ,MSPQ	MSPQIO->MSPQIO,MSPQIO	MSQ->MSQ,MSQ	N->N,N	NI->NI,NI	NP->NP,NP	NPI->NPI,NPI	NPQ->NPQ,NPQ	NPQI->NPQI,NPQI	NQ->NQ,NQ	NQI->NQI,NQI	NQIO->NQIO,NQIO	NS->NS,NS	NSI->NSI,NSI	NSO->NSO,NSO	NSPI->NSPI,NSPI	NSPQ->NSPQ,NSPQ	NSPQI->NSPQI,NSPQI	NSQ->NSQ,NSQ	NSQI->NSQI,NSQI	O->O,O	P->P,P	PI->PI,PI	PO->PO,PO	PQ->PQ,PQ	PQI->PQI,PQI	PQO->PQO,PQO	Q->Q,Q	QI->QI,QI	QO->QO,QO	S->S,S	SI->SI,SI	SP->SP,SP	SPIO->SPIO,SPIO	SPQ->SPQ,SPQ	SQ->SQ,SQ	SQI->SQI,SQI
1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	33	1	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	51	0	0	0	0	0	18	1	0	6	0	0	0	0	1	0
2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	29	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	3	1	54	1	0	3	0	0	17	0	0	6	0	0	0	0	1	0
3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	3	1	50	0	0	1	0	0	16	0	0	6	0	0	0	0	1	0
4	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	29	2	1	2	0	0	1	0	0	0	0	0	0	0	0	0	3	1	54	0	0	0	0	0	19	0	0	6	0	0	0	0	1	0
5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	2	0	0	0	1	0	0	0	0	0	0	0	2	0	1	1	51	2	0	0	2	0	19	0	0	10	0	1	0	0	1	0
6	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	30	0	3	1	0	0	1	0	0	0	0	0	0	0	0	0	3	1	48	0	0	0	0	0	22	0	0	7	0	0	0	0	1	0
7	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	3	0	0	1	2	1	0	0	0	0	0	0	0	0	2	2	54	1	0	0	2	0	18	0	0	6	0	0	0	0	2	0
8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	2	1	49	0	0	0	0	0	22	0	0	8	0	0	0	0	1	0
9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	2	0	0	0	2	0	0	0	3	0	0	0	0	0	0	1	52	0	0	2	0	1	20	0	0	7	1	0	0	0	1	0
10	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	31	0	1	0	0	0	1	0	0	0	0	0	0	0	0	3	0	1	49	0	0	0	2	0	19	0	0	6	0	0	0	0	1	0
11	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	3	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	1	1	0	0	3	1	0	0	0	2	0	0	0	0	0	1	1	45	0	0	0	0	0	21	0	0	6	0	1	0	0	1	0
12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	38	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	3	1	44	0	0	1	0	0	17	0	0	8	0	0	0	0	1	1
13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	24	0	1	0	0	0	1	4	0	0	0	0	0	0	0	0	3	1	58	0	0	0	0	0	15	0	0	8	0	0	0	0	1	0
14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	1	1	50	1	0	0	5	0	21	0	0	6	1	0	1	0	1	0
15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	27	0	2	0	0	2	1	0	0	0	0	0	0	0	0	0	3	1	51	0	0	0	3	0	22	0	0	6	0	0	0	0	1	0
16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	1	2	0	1	1	0	0	0	0	0	0	0	0	0	3	1	48	2	0	0	0	0	17	0	0	7	0	0	0	0	1	0
17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	27	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	3	1	56	0	0	2	0	0	16	0	0	8	0	0	0	0	1	0
18	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	32	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	3	2	53	0	0	0	2	0	16	0	0	5	0	0	0	0	1	0
19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	25	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	2	1	50	0	0	0	2	0	20	0	0	4	0	0	0	0	1	0
