genome_name	motility_number	prediction	motile/non-motile/partial
Abditibacteriota_bacterium	0	No	Non-Motile
Abditibacterium_utsteinense	1	No	Non-Motile
Abiotrophia_defectiva	22	Yes	Motile
Abiotrophia_sp.	0	No	Non-Motile
Abitibacteriaceae_bacterium	0	No	Non-Motile
Absiella_argi	0	No	Non-Motile
Absiella_sp.	0	No	Non-Motile
Abyssicoccus_albus	0	No	Non-Motile
Abyssogena_phaseoliformis	0	No	Non-Motile
Acanthopleuribacteraceae_bacterium	23	Yes	Motile
Acanthopleuribacter_pedis	23	Yes	Motile
Acaricomes_phytoseiuli	0	No	Non-Motile
Acaryochloridaceae_cyanobacterium	0	No	Non-Motile
Acaryochloris_sp.	0	No	Non-Motile
Acetanaerobacterium_elongatum	22	Yes	Motile
Acetanaerobacterium_sp.	1	No	Non-Motile
Acetatifactor_muris	20	Yes	Motile
Acetatifactor_sp.	21	Yes	Motile
Acetitomaculum_ruminis	21	Yes	Motile
Acetivibrio_cellulolyticus	23	Yes	Motile
Acetivibrio_ethanolgignens	20	Yes	Motile
Acetivibrio_sp.	0	No	Non-Motile
Acetoanaerobium_noterae	25	Yes	Motile
Acetoanaerobium_pronyense	23	Yes	Motile
Acetoanaerobium_sp.	17	Maybe	Possibly Motile
Acetobacteraceae_bacterium	21	Yes	Motile
Acetobacter_aceti	0	No	Non-Motile
Acetobacter_cerevisiae	1	No	Non-Motile
Acetobacter_cibinongensis	5	No	Non-Motile
Acetobacter_estunensis	17	Maybe	Possibly Motile
Acetobacter_fabarum	17	Maybe	Possibly Motile
Acetobacter_farinalis	6	No	Non-Motile
Acetobacter_ghanensis	18	Maybe	Possibly Motile
Acetobacter_indonesiensis	6	No	Non-Motile
Acetobacterium_bakii	21	Yes	Motile
Acetobacterium_dehalogenans	20	Yes	Motile
Acetobacterium_fimetarium	21	Yes	Motile
Acetobacterium_malicum	19	Yes	Motile
Acetobacterium_paludosum	21	Yes	Motile
Acetobacterium_sp.	19	Yes	Motile
Acetobacterium_tundrae	21	Yes	Motile
Acetobacterium_wieringae	20	Yes	Motile
Acetobacterium_woodii	21	Yes	Motile
Acetobacter_lambici	17	Maybe	Possibly Motile
Acetobacter_lovaniensis	17	Maybe	Possibly Motile
Acetobacter_malorum	6	No	Non-Motile
Acetobacter_musti	19	Yes	Motile
Acetobacter_nitrogenifigens	16	Maybe	Possibly Motile
Acetobacter_oeni	18	Maybe	Possibly Motile
Acetobacteroides_hydrogenigenes	2	No	Non-Motile
Acetobacter_okinawensis	18	Maybe	Possibly Motile
Acetobacter_orientalis	18	Maybe	Possibly Motile
Acetobacter_orleanensis	1	No	Non-Motile
Acetobacter_papayae	17	Maybe	Possibly Motile
Acetobacter_pasteurianus	0	No	Non-Motile
Acetobacter_persici	1	No	Non-Motile
Acetobacter_pomorum	0	No	Non-Motile
Acetobacter_sacchari	18	Maybe	Possibly Motile
Acetobacter_senegalensis	1	No	Non-Motile
Acetobacter_sicerae	18	Maybe	Possibly Motile
Acetobacter_sp.	1	No	Non-Motile
Acetobacter_suratthaniensis	17	Maybe	Possibly Motile
Acetobacter_syzygii	17	Maybe	Possibly Motile
Acetobacter_tropicalis	1	No	Non-Motile
Acetohalobium_arabaticum	24	Yes	Motile
Acetomicrobium_flavidum	17	Maybe	Possibly Motile
Acetomicrobium_hydrogeniformans	24	Yes	Motile
Acetomicrobium_sp.	0	No	Non-Motile
Acetonema_longum	24	Yes	Motile
Acetothermia_bacterium	0	No	Non-Motile
Acholeplasma_axanthum	0	No	Non-Motile
Acholeplasma_brassicae	0	No	Non-Motile
Acholeplasma_equifetale	0	No	Non-Motile
Acholeplasma_equirhinis	0	No	Non-Motile
Acholeplasma_granularum	0	No	Non-Motile
Acholeplasma_hippikon	0	No	Non-Motile
Acholeplasma_laidlawii	0	No	Non-Motile
Acholeplasma_modicum	0	No	Non-Motile
Acholeplasma_morum	0	No	Non-Motile
Acholeplasma_multilocale	0	No	Non-Motile
Acholeplasma_oculi	0	No	Non-Motile
Acholeplasma_palmae	0	No	Non-Motile
Acholeplasma_sp.	0	No	Non-Motile
Acholeplasmataceae_bacterium	0	No	Non-Motile
Acholeplasmatales_bacterium	0	No	Non-Motile
Achromatium_sp.	0	No	Non-Motile
Achromobacter_aegrifaciens	23	Yes	Motile
Achromobacter_agilis	23	Yes	Motile
Achromobacter_aloeverae	22	Yes	Motile
Achromobacter_animicus	23	Yes	Motile
Achromobacter_anxifer	23	Yes	Motile
Achromobacter_arsenitoxydans	23	Yes	Motile
Achromobacter_deleyi	22	Yes	Motile
Achromobacter_denitrificans	23	Yes	Motile
Achromobacter_dolens	23	Yes	Motile
Achromobacter_insolitus	23	Yes	Motile
Achromobacter_insuavis	23	Yes	Motile
Achromobacter_kerstersii	23	Yes	Motile
Achromobacter_marplatensis	23	Yes	Motile
Achromobacter_mucicolens	23	Yes	Motile
Achromobacter_pestifer	23	Yes	Motile
Achromobacter_piechaudii	22	Yes	Motile
Achromobacter_pulmonis	23	Yes	Motile
Achromobacter_sp.	23	Yes	Motile
Achromobacter_spanius	23	Yes	Motile
Achromobacter_undefined	23	Yes	Motile
Achromobacter_xylosoxidans	0	No	Non-Motile
Acidaminobacter_hydrogenoformans	23	Yes	Motile
Acidaminobacter_sp.	23	Yes	Motile
Acidaminococcaceae_bacterium	0	No	Non-Motile
Acidaminococcus_fermentans	1	No	Non-Motile
Acidaminococcus_intestini	0	No	Non-Motile
Acidaminococcus_massiliensis	1	No	Non-Motile
Acidaminococcus_sp.	1	No	Non-Motile
Acidianus_brierleyi	0	No	Non-Motile
Acidianus_hospitalis	0	No	Non-Motile
Acidianus_infernus	0	No	Non-Motile
Acidianus_manzaensis	0	No	Non-Motile
Acidianus_sp.	0	No	Non-Motile
Acidianus_sulfidivorans	0	No	Non-Motile
Acidibacillus_ferrooxidans	23	Yes	Motile
Acidibacillus_sulfuroxidans	23	Yes	Motile
Acidicaldus_organivorans	19	Yes	Motile
Acidicaldus_sp.	11	Maybe	Possibly Motile
Acidiferrobacteraceae_bacterium	2	No	Non-Motile
Acidiferrobacterales_bacterium	0	No	Non-Motile
Acidiferrobacter_sp.	0	No	Non-Motile
Acidiferrobacter_thiooxydans	0	No	Non-Motile
Acidihalobacter_ferrooxidans	22	Yes	Motile
Acidilobaceae_archaeon	0	No	Non-Motile
Acidilobales_archaeon	0	No	Non-Motile
Acidilobus_saccharovorans	0	No	Non-Motile
Acidilobus_sp.	0	No	Non-Motile
Acidimangrovimonas_indica	20	Yes	Motile
Acidimicrobiaceae_bacterium	0	No	Non-Motile
Acidimicrobiales_bacterium	0	No	Non-Motile
Acidimicrobiia_bacterium	0	No	Non-Motile
Acidimicrobium_ferrooxidans	22	Yes	Motile
Acidimicrobium_sp.	0	No	Non-Motile
Acidiphilium_angustum	19	Yes	Motile
Acidiphilium_cryptum	0	No	Non-Motile
Acidiphilium_multivorum	0	No	Non-Motile
Acidiphilium_rubrum	19	Yes	Motile
Acidiphilium_sp.	18	Maybe	Possibly Motile
Acidipila_dinghuensis	22	Yes	Motile
Acidipila_rosea	20	Yes	Motile
Acidipila_sp.	22	Yes	Motile
Acidiplasma_aeolicum	0	No	Non-Motile
Acidiplasma_cupricumulans	0	No	Non-Motile
Acidiplasma_sp.	0	No	Non-Motile
Acidipropionibacterium_acidipropionici	0	No	Non-Motile
Acidipropionibacterium_jensenii	0	No	Non-Motile
Acidipropionibacterium_sp.	1	No	Non-Motile
Acidipropionibacterium_timonense	1	No	Non-Motile
Acidisoma_sp.	7	Maybe	Possibly Motile
Acidisphaera_rubrifaciens	20	Yes	Motile
Acidisphaera_sp.	21	Yes	Motile
Aciditerrimonas_ferrireducens	18	Maybe	Possibly Motile
Acidithiobacillaceae_bacterium	23	Yes	Motile
Acidithiobacillales_bacterium	1	No	Non-Motile
Acidithiobacillus_albertensis	22	Yes	Motile
Acidithiobacillus_caldus	0	No	Non-Motile
Acidithiobacillus_ferrianus	23	Yes	Motile
Acidithiobacillus_ferriphilus	18	Maybe	Possibly Motile
Acidithiobacillus_ferrivorans	1	No	Non-Motile
Acidithiobacillus_ferrooxidans	0	No	Non-Motile
Acidithiobacillus_sp.	1	No	Non-Motile
Acidithiobacillus_thiooxidans	22	Yes	Motile
Acidithrix_ferrooxidans	22	Yes	Motile
Acidithrix_sp.	20	Yes	Motile
Acidobacteria_bacterium	15	Maybe	Possibly Motile
Acidobacteriaceae_bacterium	19	Yes	Motile
Acidobacteriales_bacterium	0	No	Non-Motile
Acidobacteria_subdivision	0	No	Non-Motile
Acidobacteriia_bacterium	0	No	Non-Motile
Acidobacterium_ailaaui	21	Yes	Motile
Acidobacterium_capsulatum	20	Yes	Motile
Acidobacterium_sp.	21	Yes	Motile
Acidocella_aminolytica	20	Yes	Motile
Acidocella_aromatica	18	Maybe	Possibly Motile
Acidocella_facilis	22	Yes	Motile
Acidocella_sp.	18	Maybe	Possibly Motile
Acidomonas_methanolica	19	Yes	Motile
Acidothermales_bacterium	0	No	Non-Motile
Acidothermus_cellulolyticus	23	Yes	Motile
Acidothermus_sp.	23	Yes	Motile
Acidovorax_anthurii	21	Yes	Motile
Acidovorax_avenae	21	Yes	Motile
Acidovorax_caeni	21	Yes	Motile
Acidovorax_cattleyae	17	Maybe	Possibly Motile
Acidovorax_cavernicola	21	Yes	Motile
Acidovorax_citrulli	21	Yes	Motile
Acidovorax_defluvii	10	Maybe	Possibly Motile
Acidovorax_delafieldii	21	Yes	Motile
Acidovorax_ebreus	23	Yes	Motile
Acidovorax_facilis	21	Yes	Motile
Acidovorax_konjaci	21	Yes	Motile
Acidovorax_monticola	21	Yes	Motile
Acidovorax_oryzae	21	Yes	Motile
Acidovorax_radicis	21	Yes	Motile
Acidovorax_soli	1	No	Non-Motile
Acidovorax_sp.	21	Yes	Motile
Acidovorax_valerianellae	21	Yes	Motile
Acidovorax_wautersii	21	Yes	Motile
Aciduliprofundum_boonei	0	No	Non-Motile
Aciduliprofundum_sp.	0	No	Non-Motile
Acinetobacter_albensis	1	No	Non-Motile
Acinetobacter_apis	1	No	Non-Motile
Acinetobacter_baumannii	0	No	Non-Motile
Acinetobacter_baylyi	1	No	Non-Motile
Acinetobacter_beijerinckii	1	No	Non-Motile
Acinetobacter_bereziniae	1	No	Non-Motile
Acinetobacter_bohemicus	1	No	Non-Motile
Acinetobacter_boissieri	1	No	Non-Motile
Acinetobacter_bouvetii	1	No	Non-Motile
Acinetobacter_brisouii	1	No	Non-Motile
Acinetobacter_calcoaceticus	1	No	Non-Motile
Acinetobacter_calcoaceticus/baumannii	-47	No	Non-Motile
Acinetobacter_courvalinii	1	No	Non-Motile
Acinetobacter_cumulans	1	No	Non-Motile
Acinetobacter_defluvii	1	No	Non-Motile
Acinetobacter_dijkshoorniae	0	No	Non-Motile
Acinetobacter_dispersus	1	No	Non-Motile
Acinetobacter_gandensis	1	No	Non-Motile
Acinetobacter_genomosp.	1	No	Non-Motile
Acinetobacter_gerneri	2	No	Non-Motile
Acinetobacter_guillouiae	1	No	Non-Motile
Acinetobacter_gyllenbergii	1	No	Non-Motile
Acinetobacter_haemolyticus	1	No	Non-Motile
Acinetobacter_halotolerans	1	No	Non-Motile
Acinetobacter_harbinensis	1	No	Non-Motile
Acinetobacter_idrijaensis	1	No	Non-Motile
Acinetobacter_indicus	1	No	Non-Motile
Acinetobacter_johnsonii	1	No	Non-Motile
Acinetobacter_junii	1	No	Non-Motile
Acinetobacter_kookii	1	No	Non-Motile
Acinetobacter_kyonggiensis	1	No	Non-Motile
Acinetobacter_lwoffii	1	No	Non-Motile
Acinetobacter_marinus	1	No	Non-Motile
Acinetobacter_modestus	1	No	Non-Motile
Acinetobacter_nectaris	1	No	Non-Motile
Acinetobacter_nosocomialis	1	No	Non-Motile
Acinetobacter_oleivorans	1	No	Non-Motile
Acinetobacter_parvus	1	No	Non-Motile
Acinetobacter_piscicola	1	No	Non-Motile
Acinetobacter_pittii	1	No	Non-Motile
Acinetobacter_populi	2	No	Non-Motile
Acinetobacter_proteolyticus	1	No	Non-Motile
Acinetobacter_pseudolwoffii	1	No	Non-Motile
Acinetobacter_puyangensis	1	No	Non-Motile
Acinetobacter_qingfengensis	1	No	Non-Motile
Acinetobacter_rudis	2	No	Non-Motile
Acinetobacter_schindleri	1	No	Non-Motile
Acinetobacter_seifertii	1	No	Non-Motile
Acinetobacter_seohaensis	1	No	Non-Motile
Acinetobacter_septicus	1	No	Non-Motile
Acinetobacter_soli	1	No	Non-Motile
Acinetobacter_sp.	1	No	Non-Motile
Acinetobacter_tandoii	2	No	Non-Motile
Acinetobacter_tjernbergiae	1	No	Non-Motile
Acinetobacter_towneri	1	No	Non-Motile
Acinetobacter_ursingii	1	No	Non-Motile
Acinetobacter_venetianus	1	No	Non-Motile
Acinetobacter_vivianii	1	No	Non-Motile
Acrocarpospora_corrugata	0	No	Non-Motile
Acrocarpospora_macrocephala	0	No	Non-Motile
Acrocarpospora_phusangensis	0	No	Non-Motile
Acrocarpospora_pleiomorpha	1	No	Non-Motile
Acrocarpospora_sp.	0	No	Non-Motile
Actibacterium_mucosum	16	Maybe	Possibly Motile
Actibacterium_pelagium	1	No	Non-Motile
Actibacterium_sp.	18	Maybe	Possibly Motile
Actibacterium_ureilyticum	18	Maybe	Possibly Motile
Actinoallomurus_bryophytorum	0	No	Non-Motile
Actinoalloteichus_cyanogriseus	0	No	Non-Motile
Actinoalloteichus_hoggarensis	0	No	Non-Motile
Actinoalloteichus_hymeniacidonis	0	No	Non-Motile
Actinoalloteichus_sp.	0	No	Non-Motile
Actinoalloteichus_spitiensis	0	No	Non-Motile
Actinobacillus_capsulatus	0	No	Non-Motile
Actinobacillus_delphinicola	0	No	Non-Motile
Actinobacillus_equuli	0	No	Non-Motile
Actinobacillus_indolicus	0	No	Non-Motile
Actinobacillus_lignieresii	0	No	Non-Motile
Actinobacillus_minor	0	No	Non-Motile
Actinobacillus_pleuropneumoniae	0	No	Non-Motile
Actinobacillus_porcinus	0	No	Non-Motile
Actinobacillus_porcitonsillarum	0	No	Non-Motile
[Actinobacillus]_rossii	0	No	Non-Motile
Actinobacillus_seminis	0	No	Non-Motile
Actinobacillus_sp.	0	No	Non-Motile
Actinobacillus_succinogenes	0	No	Non-Motile
Actinobacillus_suis	0	No	Non-Motile
Actinobacillus_ureae	0	No	Non-Motile
Actinobacillus_vicugnae	0	No	Non-Motile
Actinobacteria_bacterium	0	No	Non-Motile
actinobacterium_acAcidi	0	No	Non-Motile
actinobacterium_acAMD-2	0	No	Non-Motile
actinobacterium_acAMD-5	0	No	Non-Motile
