M->M,M	N->N,N	Y->Y,Y
1	540	5188	4796
2	530	5190	4804
3	542	5169	4813
4	566	5164	4794
5	546	5212	4766
6	545	5198	4781
7	540	5147	4837
8	552	5226	4746
9	547	5184	4793
10	528	5182	4814
11	516	5216	4792
12	536	5203	4785
13	510	5200	4814
14	541	5173	4810
15	551	5195	4778
16	540	5215	4769
17	551	5192	4781
18	525	5163	4836
19	526	5189	4809
20	538	5203	4783
21	511	5196	4817
22	526	5216	4782
23	540	5153	4831
24	537	5194	4793
25	529	5182	4813
26	548	5150	4826
27	545	5193	4786
28	543	5183	4798
29	544	5179	4801
30	556	5167	4801
31	510	5204	4810
32	527	5191	4806
33	525	5187	4812
34	506	5214	4804
35	535	5196	4793
36	531	5206	4787
37	546	5178	4800
38	518	5221	4785
39	526	5161	4837
40	557	5198	4769
41	534	5284	4706
42	532	5214	4778
43	547	5161	4816
44	577	5172	4775
45	535	5179	4810
46	543	5248	4733
47	552	5180	4792
48	532	5211	4781
49	536	5190	4798
50	567	5211	4746
51	521	5180	4823
52	547	5202	4775
53	544	5225	4755
54	548	5214	4762
55	508	5172	4844
56	566	5157	4801
57	569	5200	4755
58	538	5163	4823
59	544	5194	4786
60	531	5224	4769
61	531	5201	4792
62	534	5168	4822
63	537	5200	4787
64	549	5154	4821
65	559	5209	4756
66	509	5186	4829
67	538	5150	4836
68	551	5228	4745
69	523	5140	4861
70	537	5198	4789
71	529	5166	4829
72	503	5178	4843
73	528	5209	4787
74	538	5181	4805
75	546	5195	4783
76	529	5195	4800
77	533	5189	4802
78	532	5172	4820
79	544	5228	4752
80	553	5161	4810
81	561	5164	4799
82	547	5161	4816
83	541	5142	4841
84	501	5196	4827
85	541	5207	4776
86	537	5188	4799
87	534	5211	4779
88	539	5223	4762
89	539	5214	4771
90	549	5223	4752
91	544	5177	4803
92	556	5183	4785
93	526	5222	4776
94	531	5192	4801
95	539	5225	4760
96	527	5194	4803
97	522	5180	4822
98	534	5218	4772
99	540	5189	4795
100	544	5195	4785
