feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_900169565.1	Primary Assembly	chromosome	I	LT828648.1	381	1526	-							NSJP_0001	1146		
CDS	with_protein	GCA_900169565.1	Primary Assembly	chromosome	I	LT828648.1	381	1526	-	SLM46173.1			putative Mannosyltransferase			NSJP_0001	1146	381	
gene	protein_coding	GCA_900169565.1	Primary Assembly	chromosome	I	LT828648.1	1480	2643	-							NSJP_0002	1164		
CDS	with_protein	GCA_900169565.1	Primary Assembly	chromosome	I	LT828648.1	1480	2643	-	SLM46174.1			putative Glycosyl transferase group 1			NSJP_0002	1164	387	
gene	protein_coding	GCA_900169565.1	Primary Assembly	chromosome	I	LT828648.1	2643	3419	-							NSJP_0003	777		
CDS	with_protein	GCA_900169565.1	Primary Assembly	chromosome	I	LT828648.1	2643	3419	-	SLM46175.1			putative Lipopolysaccharide core biosynthesis glycosyltransferase			NSJP_0003	777	258	
gene	protein_coding	GCA_900169565.1	Primary Assembly	chromosome	I	LT828648.1	3439	4440	-							NSJP_0004	1002		
CDS	with_protein	GCA_900169565.1	Primary Assembly	chromosome	I	LT828648.1	3439	4440	-	SLM46176.1			Putative glycosyl transferase (modular protein)			NSJP_0004	1002	333	
gene	protein_coding	GCA_900169565.1	Primary Assembly	chromosome	I	LT828648.1	4465	5310	-							NSJP_0005	846		
CDS	with_protein	GCA_900169565.1	Primary Assembly	chromosome	I	LT828648.1	4465	5310	-	SLM46177.1			conserved protein of unknown function			NSJP_0005	846	281	
gene	protein_coding	GCA_900169565.1	Primary Assembly	chromosome	I	LT828648.1	5307	6122	-					kdtX		NSJP_0006	816		
CDS	with_protein	GCA_900169565.1	Primary Assembly	chromosome	I	LT828648.1	5307	6122	-	SLM46178.1			Lipopolysaccharide core biosynthesis glycosyltransferase KdtX	kdtX		NSJP_0006	816	271	
gene	protein_coding	GCA_900169565.1	Primary Assembly	chromosome	I	LT828648.1	6124	7272	-							NSJP_0007	1149		
CDS	with_protein	GCA_900169565.1	Primary Assembly	chromosome	I	LT828648.1	6124	7272	-	SLM46179.1			putative Phosphatidylinositol alpha-mannosyltransferase			NSJP_0007	1149	382	
gene	protein_coding	GCA_900169565.1	Primary Assembly	chromosome	I	LT828648.1	7485	8513	-							NSJP_0008	1029		
CDS	with_protein	GCA_900169565.1	Primary Assembly	chromosome	I	LT828648.1	7485	8513	-	SLM46180.1			putative Lipopolysaccharide heptosyltransferase II			NSJP_0008	1029	342	
gene	protein_coding	GCA_900169565.1	Primary Assembly	chromosome	I	LT828648.1	8551	10278	-					gmhB		NSJP_0009	1728		
CDS	with_protein	GCA_900169565.1	Primary Assembly	chromosome	I	LT828648.1	8551	10278	-	SLM46181.1			Lipopolysaccharide heptosyltransferase II and D, D-heptose 1,7-bisphosphate phosphatase (Modular protein)	gmhB		NSJP_0009	1728	575	
gene	protein_coding	GCA_900169565.1	Primary Assembly	chromosome	I	LT828648.1	10271	11329	-					lpxK		NSJP_0010	1059		
CDS	with_protein	GCA_900169565.1	Primary Assembly	chromosome	I	LT828648.1	10271	11329	-	SLM46182.1			Tetraacyldisaccharide 4'-kinase	lpxK		NSJP_0010	1059	352	
gene	protein_coding	GCA_900169565.1	Primary Assembly	chromosome	I	LT828648.1	11358	12698	-					waaA		NSJP_0011	1341		
CDS	with_protein	GCA_900169565.1	Primary Assembly	chromosome	I	LT828648.1	11358	12698	-	SLM46183.1			3-deoxy-D-manno-octulosonic-acid transferase	waaA		NSJP_0011	1341	446	
gene	protein_coding	GCA_900169565.1	Primary Assembly	chromosome	I	LT828648.1	12758	12931	-							NSJP_0012	174		
CDS	with_protein	GCA_900169565.1	Primary Assembly	chromosome	I	LT828648.1	12758	12931	-	SLM46184.1			protein of unknown function			NSJP_0012	174	57	
gene	protein_coding	GCA_900169565.1	Primary Assembly	chromosome	I	LT828648.1	12814	13446	-							NSJP_0013	633		
CDS	with_protein	GCA_900169565.1	Primary Assembly	chromosome	I	LT828648.1	12814	13446	-	SLM46185.1			conserved protein of unknown function			NSJP_0013	633	210	
gene	protein_coding	GCA_900169565.1	Primary Assembly	chromosome	I	LT828648.1	13443	15185	-					msbA		NSJP_0014	1743		
CDS	with_protein	GCA_900169565.1	Primary Assembly	chromosome	I	LT828648.1	13443	15185	-	SLM46186.1			fused lipid transporter subunits of ABC superfamily: membrane component; ATP-binding component	msbA		NSJP_0014	1743	580	
gene	protein_coding	GCA_900169565.1	Primary Assembly	chromosome	I	LT828648.1	15173	16366	-					lpxB		NSJP_0015	1194		
CDS	with_protein	GCA_900169565.1	Primary Assembly	chromosome	I	LT828648.1	15173	16366	-	SLM46187.1			Lipid-A-disaccharide synthase	lpxB		NSJP_0015	1194	397	
gene	protein_coding	GCA_900169565.1	Primary Assembly	chromosome	I	LT828648.1	16381	17346	-							NSJP_0016	966		
CDS	with_protein	GCA_900169565.1	Primary Assembly	chromosome	I	LT828648.1	16381	17346	-	SLM46188.1			putative Oxidoreductase, Gfo/Idh/MocA family			NSJP_0016	966	321	
gene	protein_coding	GCA_900169565.1	Primary Assembly	chromosome	I	LT828648.1	17343	18206	-							NSJP_0017	864		
CDS	with_protein	GCA_900169565.1	Primary Assembly	chromosome	I	LT828648.1	17343	18206	-	SLM46189.1			conserved protein of unknown function			NSJP_0017	864	287	
gene	protein_coding	GCA_900169565.1	Primary Assembly	chromosome	I	LT828648.1	18203	19012	-					lpxA		NSJP_0018	810		
CDS	with_protein	GCA_900169565.1	Primary Assembly	chromosome	I	LT828648.1	18203	19012	-	SLM46190.1			UDP-N-acetylglucosamine acetyltransferase	lpxA		NSJP_0018	810	269	
