#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-36A0BE5FC7C4AF6C-23FDB0AC43438DB5
#datatype	hitsConcise Results(Superfamily only)
#status	0
#Start time	2023-05-27T23:15:41	Run time	0:00:02:28
#status	success

Num	Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
1	QQS07318.1 MAG: MotA/TolQ/ExbB proton channel family protein [Fibrobacteres bacterium]	superfamily	224210	29	258	2.98327e-39	137.34	cl42821	MotA superfamily	 - 	 - 
2	CDK98228.1 putative flagellar motor component [Magnetospirillum gryphiswaldense MSR1 v2]	superfamily	224210	1	254	4.67561e-45	152.363	cl42821	MotA superfamily	 - 	 - 
3	AEO48324.1 MotA/TolQ/ExbB proton channel [Rhodospirillum rubrum F11]	superfamily	224210	10	233	4.5282e-38	134.643	cl42821	MotA superfamily	 - 	 - 
4	QNQ12173.1 MotA/TolQ/ExbB proton channel family protein [Sphingomonas alpina]	superfamily	444982	2	207	6.72071e-37	129.388	cl00568	MotA_ExbB superfamily	 - 	 - 
5	UPT73159.1 MAG: MotA/TolQ/ExbB proton channel family protein [Elusimicrobia bacterium]	superfamily	224210	1	253	2.00621e-69	216.691	cl42821	MotA superfamily	 - 	 - 
6	AIQ92767.1 MotA/TolQ/ExbB proton channel [Methylobacterium oryzae CBMB20]	superfamily	444982	14	263	2.04518e-67	209.51	cl00568	MotA_ExbB superfamily	 - 	 - 
7	ABA04498.1 MotA/TolQ/ExbB proton channel [Nitrobacter winogradskyi Nb255]	superfamily	444982	1	249	3.34625e-70	216.058	cl00568	MotA_ExbB superfamily	 - 	 - 
8	AEO47025.1 MotA/TolQ/ExbB proton channel [Rhodospirillum rubrum F11]	superfamily	444982	18	267	2.19211e-61	194.102	cl00568	MotA_ExbB superfamily	 - 	 - 
9	APC07901.1 chemotaxis protein PomA [Moorella thermoacetica]	superfamily	224210	2	259	2.5211e-82	247.892	cl42821	MotA superfamily	 - 	 - 
10	ADG94140.1 MotA/TolQ/ExbB proton channel [Arcobacter nitrofigilis DSM 7299]	superfamily	444982	1	215	2.85478e-52	170.219	cl00568	MotA_ExbB superfamily	 - 	 - 
11	QEO41881.1 flagellar motor protein PomA [Vibrio cholerae]	superfamily	444982	1	254	5.36316e-159	441.015	cl00568	MotA_ExbB superfamily	 - 	 - 
12	BAC58952.1 sodiumdriven polar flagellar protein MotA [Vibrio parahaemolyticus RIMD 2210633]	superfamily	444982	1	253	8.31591e-171	471.06	cl00568	MotA_ExbB superfamily	 - 	 - 
13	QTD53836.1 MotA/TolQ/ExbB proton channel family protein [Sulfidibacter corallicola]	superfamily	444982	1	254	1.35918e-77	234.933	cl00568	MotA_ExbB superfamily	 - 	 - 
14	ATX82900.1 chemotaxis protein MotA [Mariprofundus ferrinatatus]	superfamily	224210	1	252	3.51125e-83	249.433	cl42821	MotA superfamily	 - 	 - 
15	ATX78565.1 chemotaxis protein MotA [Mariprofundus aestuarium]	superfamily	224210	1	252	4.34937e-79	239.032	cl42821	MotA superfamily	 - 	 - 
16	ALF47869.1 flagellar motor protein [Campylobacter concisus]	superfamily	224210	1	252	6.34891e-83	249.048	cl42821	MotA superfamily	 - 	 - 
17	ADN09321.1 MotA/TolQ/ExbB proton channel [Sulfurimonas autotrophica DSM 16294]	superfamily	224210	1	251	5.68268e-78	236.336	cl42821	MotA superfamily	 - 	 - 
18	USF23676.1 Chemotaxis protein PomA [Mucispirillum schaedleri ASF457]	superfamily	444982	1	250	1.96796e-86	257.274	cl00568	MotA_ExbB superfamily	 - 	 - 
19	QAR32385.1 motility protein A [Geovibrio thiophilus]	superfamily	444982	1	250	2.06391e-95	280.001	cl00568	MotA_ExbB superfamily	 - 	 - 
20	ADD67090.1 MotA/TolQ/ExbB proton channel [Denitrovibrio acetiphilus DSM 12809]	superfamily	444982	1	250	6.39703e-90	266.134	cl00568	MotA_ExbB superfamily	 - 	 - 
21	ATO49114.1 chemotaxis protein [Brevibacillus laterosporus DSM 25]	superfamily	444982	17	254	2.55651e-35	127.522	cl00568	MotA_ExbB superfamily	 - 	 - 
22	CAL34488.1 putative flagellar motor proton channel [Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819]	superfamily	444982	1	257	1.52684e-176	485.77	cl00568	MotA_ExbB superfamily	 - 	 - 
23	AOO65115.1 flagellar motor rotation protein MotA [Sulfurospirillum halorespirans DSM 13726]	superfamily	444982	1	257	1.00953e-140	395.248	cl00568	MotA_ExbB superfamily	 - 	 - 
24	EKT88755.1 endoflagellar motor protein [Leptospira santarosai serovar Shermani str. LT 821]	superfamily	444982	12	251	1.19972e-67	209.029	cl00568	MotA_ExbB superfamily	 - 	 - 
25	AHE95900.1 flagellar motor protein MotA [Thermocrinis ruber]	superfamily	444982	1	245	6.73524e-67	207.656	cl00568	MotA_ExbB superfamily	 - 	 - 
26	ADC89566.1 MotA/TolQ/ExbB proton channel [Thermocrinis albus DSM 14484]	superfamily	224210	1	248	1.543e-62	196.66	cl42821	MotA superfamily	 - 	 - 
27	QOY88866.1 flagellar motor protein [Paludibaculum fermentans]	superfamily	444982	16	259	4.7868e-92	272.972	cl00568	MotA_ExbB superfamily	 - 	 - 
28	AFL88814.1 flagellar motor component [Terriglobus roseus DSM 18391]	superfamily	444982	1	242	6.43832e-89	263.727	cl00568	MotA_ExbB superfamily	 - 	 - 
29	AFL88473.1 flagellar motor component [Terriglobus roseus DSM 18391]	superfamily	444982	1	242	6.43832e-89	263.727	cl00568	MotA_ExbB superfamily	 - 	 - 
30	ACO33277.1 chemotaxis MotA protein [Acidobacterium capsulatum ATCC 51196]	superfamily	444982	23	245	1.1547e-86	258.334	cl00568	MotA_ExbB superfamily	 - 	 - 
31	QKS28544.1 MAG: flagellar motor protein [Candidatus Accumulibacter similis]	superfamily	444982	1	245	4.37636e-152	422.815	cl00568	MotA_ExbB superfamily	 - 	 - 
32	AAG04849.1 MotC [Pseudomonas aeruginosa PAO1]	superfamily	444982	1	246	1.77239e-166	459.408	cl00568	MotA_ExbB superfamily	 - 	 - 
33	BCB96091.1 chemotaxis protein MotA [Dissulfurispira thermophila]	superfamily	444982	1	245	1.23391e-86	257.564	cl00568	MotA_ExbB superfamily	 - 	 - 
34	ACI21187.1 chemotaxis MotA protein [Thermodesulfovibrio yellowstonii DSM 11347]	superfamily	444982	1	245	1.84776e-91	269.89	cl00568	MotA_ExbB superfamily	 - 	 - 
35	ADL42743.1 MotA/TolQ/ExbB proton channel [Caldicellulosiruptor obsidiansis OB47]	superfamily	444982	1	245	4.70083e-92	271.816	cl00568	MotA_ExbB superfamily	 - 	 - 
36	QOY85398.1 flagellar motor protein [Paludibaculum fermentans]	superfamily	444982	49	272	8.9429e-78	236.378	cl00568	MotA_ExbB superfamily	 - 	 - 
37	AAR36419.1 flagellar basal body stator protein MotA [Geobacter sulfurreducens PCA]	superfamily	444982	1	246	8.47295e-107	308.795	cl00568	MotA_ExbB superfamily	 - 	 - 
38	AHZ85791.1 flagellar motor protein MotA [Bdellovibrio bacteriovorus]	superfamily	444982	1	246	6.09046e-94	276.053	cl00568	MotA_ExbB superfamily	 - 	 - 
39	ACL65905.1 MotA/TolQ/ExbB proton channel [Anaeromyxobacter dehalogenans 2CP1]	superfamily	444982	1	244	1.06893e-101	296.084	cl00568	MotA_ExbB superfamily	 - 	 - 
40	BAM06016.1 flagellar motor component [Leptospirillum ferrooxidans C23]	superfamily	444982	22	248	1.10086e-86	257.949	cl00568	MotA_ExbB superfamily	 - 	 - 
41	ALA58549.1 Flagellar motor protein MotA [Nitrospira moscoviensis]	superfamily	444982	1	245	7.11036e-111	319.196	cl00568	MotA_ExbB superfamily	 - 	 - 
42	UBQ06690.1 MotA/TolQ/ExbB proton channel family protein [Tepidimonas taiwanensis]	superfamily	224210	1	251	4.08063e-43	148.125	cl42821	MotA superfamily	 - 	 - 
43	ATX82928.1 chemotaxis protein MotA [Mariprofundus ferrinatatus]	superfamily	224210	1	259	1.83541e-57	184.719	cl42821	MotA superfamily	 - 	 - 
44	ATX78592.1 chemotaxis protein MotA [Mariprofundus aestuarium]	superfamily	224210	1	257	3.40352e-58	186.645	cl42821	MotA superfamily	 - 	 - 
45	UPH48256.1 flagellar motor stator protein MotA [Listeria innocua]	superfamily	444982	1	264	1.5895e-152	426.297	cl00568	MotA_ExbB superfamily	 - 	 - 
46	ALU34477.1 MotA/TolQ/ExbB proton channel [Clostridium autoethanogenum DSM 10061]	superfamily	444982	1	263	3.07162e-154	429.764	cl00568	MotA_ExbB superfamily	 - 	 - 
47	ATO49967.1 flagellar motor protein MotA [Brevibacillus laterosporus DSM 25]	superfamily	444982	1	262	2.27977e-158	440.55	cl00568	MotA_ExbB superfamily	 - 	 - 
48	CAB13242.1 motility protein A; MotA component of the H+coupled stator flagellum complex [Bacillus subtilis subsp. subtilis str. 168]	superfamily	444982	1	263	6.76935e-171	472.136	cl00568	MotA_ExbB superfamily	 - 	 - 
49	AJH79515.1 motA/TolQ/ExbB proton channel family protein [Weizmannia coagulans DSM 1 = ATCC 7050]	superfamily	444982	1	257	6.32666e-160	444.402	cl00568	MotA_ExbB superfamily	 - 	 - 
50	QAT63225.1 motility protein A [Tissierella sp. JN28]	superfamily	224210	6	250	8.12044e-65	203.209	cl42821	MotA superfamily	 - 	 - 
51	ADY60068.1 MotA/TolQ/ExbB proton channel [Rubinisphaera brasiliensis DSM 5305]	superfamily	224210	25	257	4.54639e-81	244.425	cl42821	MotA superfamily	 - 	 - 
52	QDU26963.1 Chemotaxis protein PomA [Anatilimnocola aggregata]	superfamily	444982	15	246	2.09438e-67	209.569	cl00568	MotA_ExbB superfamily	 - 	 - 
53	ADB18997.1 MotA/TolQ/ExbB proton channel [Pirellula staleyi DSM 6068]	superfamily	224210	1	251	6.36672e-80	241.344	cl42821	MotA superfamily	 - 	 - 
54	QDU97593.1 Chemotaxis protein PomA [Lignipirellula cremea]	superfamily	224210	1	252	5.23749e-83	249.048	cl42821	MotA superfamily	 - 	 - 
55	CAD76169.1 chemotaxis pomA protein [Rhodopirellula baltica SH 1]	superfamily	444982	1	252	4.34674e-73	223.377	cl00568	MotA_ExbB superfamily	 - 	 - 
56	BAD41956.1 flagellar motor protein MotA [Symbiobacterium thermophilum IAM 14863]	superfamily	444982	1	245	8.26478e-80	240.615	cl00568	MotA_ExbB superfamily	 - 	 - 
57	QFG02534.1 flagellar motor protein [Tepidiforma bonchosmolovskayae]	superfamily	224210	26	253	5.32166e-81	244.425	cl42821	MotA superfamily	 - 	 - 
58	ABY95376.1 MotA/TolQ/ExbB proton channel [Thermoanaerobacter pseudethanolicus ATCC 33223]	superfamily	224210	1	272	4.34506e-73	224.395	cl42821	MotA superfamily	 - 	 - 
59	ALU36624.1 Chemotaxis protein MotA [Clostridium autoethanogenum DSM 10061]	superfamily	224210	1	251	6.46151e-93	274.471	cl42821	MotA superfamily	 - 	 - 
60	APC08935.1 chemotaxis protein PomA [Moorella thermoacetica]	superfamily	444982	1	237	2.36521e-63	198.243	cl00568	MotA_ExbB superfamily	 - 	 - 
61	CCW35905.1 Flagellar motor component [Chthonomonas calidirosea T49]	superfamily	224210	1	250	2.3777e-94	277.938	cl42821	MotA superfamily	 - 	 - 
62	APC07539.1 chemotaxis protein PomA [Moorella thermoacetica]	superfamily	224210	13	266	4.23389e-82	247.507	cl42821	MotA superfamily	 - 	 - 
63	ACL22206.1 MotA/TolQ/ExbB proton channel [Desulfitobacterium hafniense DCB2]	superfamily	224210	1	251	2.55245e-82	247.507	cl42821	MotA superfamily	 - 	 - 
64	CAB14951.1 sodium channel statorforce generator subunit of flagellar rotation [Bacillus subtilis subsp. subtilis str. 168]	superfamily	444982	1	272	2.38919e-170	471.12	cl00568	MotA_ExbB superfamily	 - 	 - 
65	AAC07083.1 flagellar motor protein MotA [Aquifex aeolicus VF5]	superfamily	224210	1	246	1.81164e-76	232.484	cl42821	MotA superfamily	 - 	 - 
66	UOY13875.1 motility protein A [Treponema pallidum subsp. pallidum]	superfamily	224210	1	259	1.15584e-103	301.82	cl42821	MotA superfamily	 - 	 - 
67	AWG41586.1 Mot family proton H+ or sodium Na+ transporter MotA [Treponema pallidum subsp. pertenue]	superfamily	224210	1	259	1.15584e-103	301.82	cl42821	MotA superfamily	 - 	 - 
68	EKT86693.1 flagellar motor protein MotP [Leptospira santarosai serovar Shermani str. LT 821]	superfamily	224210	1	260	1.49318e-85	255.596	cl42821	MotA superfamily	 - 	 - 
69	CCG57546.1 flagellar Motor Protein MotA [Brachyspira pilosicoli WesB]	superfamily	224210	1	258	5.18883e-78	236.721	cl42821	MotA superfamily	 - 	 - 
70	AEM21069.1 Flagellar Motor Protein [Brachyspira intermedia PWS/A]	superfamily	224210	1	258	4.91801e-70	216.306	cl42821	MotA superfamily	 - 	 - 
71	QAT61614.1 motility protein A [Tissierella sp. JN28]	superfamily	224210	1	258	1.28891e-90	268.693	cl42821	MotA superfamily	 - 	 - 
72	BAS27507.1 flagellar motor protein MotP [Limnochorda pilosa]	superfamily	224210	1	263	5.47108e-91	269.848	cl42821	MotA superfamily	 - 	 - 
73	ATU65955.1 flagellar motor stator protein MotA [Rhizobacter gummiphilus]	superfamily	444982	1	284	1.85743e-141	400.279	cl00568	MotA_ExbB superfamily	 - 	 - 
74	BAC62899.1 chemotaxis LafT protein [Vibrio parahaemolyticus RIMD 2210633]	superfamily	444982	1	280	4.54768e-156	436.172	cl00568	MotA_ExbB superfamily	 - 	 - 
75	AJJ56783.1 flagellar motor stator protein MotA [Yersinia pseudotuberculosis IP 32953]	superfamily	444982	1	287	5.51704e-165	459.214	cl00568	MotA_ExbB superfamily	 - 	 - 
76	AJJ32757.1 flagellar motor stator protein MotA [Yersinia pestis]	superfamily	444982	1	287	5.39744e-165	459.214	cl00568	MotA_ExbB superfamily	 - 	 - 
77	ATC63650.1 flagellar motor protein MotA [Nibricoccus aquaticus]	superfamily	444982	1	282	1.15275e-103	303.664	cl00568	MotA_ExbB superfamily	 - 	 - 
78	ACB73691.1 MotA/TolQ/ExbB proton channel [Opitutus terrae PB901]	superfamily	444982	1	282	4.49378e-101	296.73	cl00568	MotA_ExbB superfamily	 - 	 - 
79	AHZ83632.1 flagellar motor protein MotA [Bdellovibrio bacteriovorus]	superfamily	444982	2	284	3.84252e-135	383.36	cl00568	MotA_ExbB superfamily	 - 	 - 
80	ARU42506.1 flagellar motor stator protein MotA [Armatimonadetes bacterium UphvlAr1]	superfamily	444982	1	281	1.0412e-121	349.117	cl00568	MotA_ExbB superfamily	 - 	 - 
81	CCW34551.1 flagellar motor stator protein MotA [Chthonomonas calidirosea T49]	superfamily	444982	1	282	4.38489e-132	375.696	cl00568	MotA_ExbB superfamily	 - 	 - 
82	QJR36484.1 flagellar motor stator protein MotA [Gemmatimonas groenlandica]	superfamily	444982	1	281	4.82433e-138	390.333	cl00568	MotA_ExbB superfamily	 - 	 - 
83	BAH37338.1 chemotaxis MotA protein [Gemmatimonas aurantiaca T27]	superfamily	444982	1	281	3.58986e-138	390.719	cl00568	MotA_ExbB superfamily	 - 	 - 
84	AMW06484.1 flagellar motor protein MotA [Gemmatimonas phototrophica]	superfamily	444982	1	262	1.00826e-128	366.066	cl00568	MotA_ExbB superfamily	 - 	 - 
85	QDU25289.1 Chemotaxis protein LafT [Anatilimnocola aggregata]	superfamily	444982	13	282	9.85411e-111	321.383	cl00568	MotA_ExbB superfamily	 - 	 - 
86	QQS05761.1 MAG: flagellar motor stator protein MotA [Fibrobacteres bacterium]	superfamily	444982	18	279	8.96961e-106	308.671	cl00568	MotA_ExbB superfamily	 - 	 - 
87	AAG08339.1 chemotaxis protein MotA [Pseudomonas aeruginosa PAO1]	superfamily	444982	1	283	1.14778e-161	450.385	cl00568	MotA_ExbB superfamily	 - 	 - 
