# Assembly name:  ASM29224v2
# Organism name:  Alkalihalobacillus alcalophilus ATCC 27647 = CGMCC 1.3604 (firmicutes)
# Infraspecific name:  strain=AV1934
# Taxid:          1218173
# BioSample:      SAMN02470564
# BioProject:     PRJNA171835
# Submitter:      Mount Sinai School of Medicine
# Date:           2014-09-17
# Assembly type:  na
# Release type:   major
# Assembly level: Contig
# Genome representation: full
# WGS project:    ALPT02
# Assembly method: Newbler v. 2.7
# Expected final version: yes
# Genome coverage: 10.0x
# Sequencing technology: 454
# Relation to type material: assembly from type material
# GenBank assembly accession: GCA_000292245.2
# RefSeq assembly accession: GCF_000292245.2
# RefSeq assembly and GenBank assemblies identical: yes
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000292255.2	GCF_000292255.2	Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
contig00001	unplaced-scaffold	na	na	ALPT02000001.1	=	NZ_ALPT02000001.1	Primary Assembly	134220	na
contig00002	unplaced-scaffold	na	na	ALPT02000002.1	=	NZ_ALPT02000002.1	Primary Assembly	119032	na
contig00003	unplaced-scaffold	na	na	ALPT02000003.1	=	NZ_ALPT02000003.1	Primary Assembly	110308	na
contig00004	unplaced-scaffold	na	na	ALPT02000004.1	=	NZ_ALPT02000004.1	Primary Assembly	92794	na
contig00005	unplaced-scaffold	na	na	ALPT02000005.1	=	NZ_ALPT02000005.1	Primary Assembly	89880	na
contig00006	unplaced-scaffold	na	na	ALPT02000006.1	=	NZ_ALPT02000006.1	Primary Assembly	80282	na
contig00007	unplaced-scaffold	na	na	ALPT02000007.1	=	NZ_ALPT02000007.1	Primary Assembly	76941	na
contig00008	unplaced-scaffold	na	na	ALPT02000008.1	=	NZ_ALPT02000008.1	Primary Assembly	72204	na
contig00009	unplaced-scaffold	na	na	ALPT02000009.1	=	NZ_ALPT02000009.1	Primary Assembly	71804	na
contig00010	unplaced-scaffold	na	na	ALPT02000010.1	=	NZ_ALPT02000010.1	Primary Assembly	69474	na
