Double-checking the MotB sequences / IDs in the file:  					motB_filtered.fasta										
															
"Notes for fixing on the right. The ones with the biggest issues are at the bottom, these are probably the cases where the MotA neighbor was not actually a MotB homolog, e.g. sometimes there is an insertion or switching from coding on + strand to - strand. "															
															
															
															
															
		names from: motB_filtered.fasta	MotA IDs from: motB_filtered.fasta		MotB IDs from: motB_filtered.fasta			These are hits in Nick's Excel file of gene neighbors to the MotA/TolQ/ExbB homologs; this contains clear MotB/TolR/ExbD homologs for most proteins (exceptions at the bottom)							
new_order	matchnums_to_original_MotB_w_MotA_preface	original_motB_seqs_w_MotA_prefix_names	motA_ids_seqs_to_output	original_motB_ids_seqs_to_output	original_motB_labels_seqs_to_output	matchnums_to_NMxls	counts	NM_xls_MotB_bestMatch_gids_prefix	NM_xls_MotB_bestMatch_gids	NM_xls_MotB_bestMatch_names	MotB choice for new/final motB_filtered file	"motB_filtered matches xls? If not, a change in the motB_filtered motB sequence choice may be needed"	MotA id equals MotB?	"no auto fix available, please fix, e.g. with detailed manual look/ careful BLAST for correct MotB or TolR or ExbB (e.g. taxon-limited search on NCBI genbank web blast)"	"hypothetical proteins (most of these are probably correctly identified as MotB/TolR/ExbD homologs, but please double-check)"
1	2	AAC73831_AAC73832_Tol-Pal system protein TolR_Escherichia coli str. K-12 substr. MG1655 (E. coli)	AAC73831	AAC73832_Tol-Pal system protein TolR_Escherichia coli str. K-12 substr. MG1655 (E. coli)	AAC73832	434	1	AAC73832	AAC73832.1	Tol-Pal system protein TolR		y			
2	3	AAC74960_AAC74959_motility protein B_Escherichia coli str. K-12 substr. MG1655 (E. coli)	AAC74960	AAC74959_motility protein B_Escherichia coli str. K-12 substr. MG1655 (E. coli)	AAC74959	1046	1	AAC74959	AAC74959.1	motility protein B		y			
3	4	AAC76042_AAC76041_Ton complex subunit ExbD_Escherichia coli str. K-12 substr. MG1655 (E. coli)	AAC76042	AAC76041_Ton complex subunit ExbD_Escherichia coli str. K-12 substr. MG1655 (E. coli)	AAC76041	530	1	AAC76041	AAC76041.1	Ton complex subunit ExbD		y			
4	5	AAG03587_AAG03588_transport protein ExbD_Pseudomonas aeruginosa PAO1 (g-proteobacteria)	AAG03587	AAG03588_transport protein ExbD_Pseudomonas aeruginosa PAO1 (g-proteobacteria)	AAG03588	708	1	AAG03588	AAG03588.1	transport protein ExbD		y			
5	6	AAG04082_AAG04083_transport protein ExbD_Pseudomonas aeruginosa PAO1 (g-proteobacteria)	AAG04082	AAG04083_transport protein ExbD_Pseudomonas aeruginosa PAO1 (g-proteobacteria)	AAG04083	737	1	AAG04083	AAG04083.1	transport protein ExbD		y			
6	7	AAG04358_AAG04359_TolR protein_Pseudomonas aeruginosa PAO1 (g-proteobacteria)	AAG04358	AAG04359_TolR protein_Pseudomonas aeruginosa PAO1 (g-proteobacteria)	AAG04359	487	1	AAG04359	AAG04359.1	TolR protein		y			
7	8	AAG04849_AAG04850_MotD_Pseudomonas aeruginosa PAO1 (g-proteobacteria)	AAG04849	AAG04850_MotD_Pseudomonas aeruginosa PAO1 (g-proteobacteria)	AAG04850	826	1	AAG04850	AAG04850.1	MotD		y			
8	9	AAG06371_AAG06370_conserved hypothetical protein_Pseudomonas aeruginosa PAO1 (g-proteobacteria)	AAG06371	AAG06370_conserved hypothetical protein_Pseudomonas aeruginosa PAO1 (g-proteobacteria)	AAG06370	222	1	AAG06370	AAG06370.1	conserved hypothetical protein		y			
9	10	AAG08339_AAG08338_chemotaxis protein MotB_Pseudomonas aeruginosa PAO1 (g-proteobacteria)	AAG08339	AAG08338_chemotaxis protein MotB_Pseudomonas aeruginosa PAO1 (g-proteobacteria)	AAG08338	1178	1	AAG08338	AAG08338.1	chemotaxis protein MotB		y			
