feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_900187105.1	Primary Assembly	chromosome	1	LT906482.1	1	1308	+					lplT		SAMEA4412678_00001	1308		
CDS	with_protein	GCA_900187105.1	Primary Assembly	chromosome	1	LT906482.1	1	1308	+	SNW05776.1			Lysophospholipid transporter lplT	lplT		SAMEA4412678_00001	1308	435	
gene	protein_coding	GCA_900187105.1	Primary Assembly	chromosome	1	LT906482.1	1458	2453	+					yceG		SAMEA4412678_00002	996		
CDS	with_protein	GCA_900187105.1	Primary Assembly	chromosome	1	LT906482.1	1458	2453	+	SNW05783.1			putative aminodeoxychorismate lyase	yceG		SAMEA4412678_00002	996	331	
gene	protein_coding	GCA_900187105.1	Primary Assembly	chromosome	1	LT906482.1	2455	3057	+					yciB		SAMEA4412678_00003	603		
CDS	with_protein	GCA_900187105.1	Primary Assembly	chromosome	1	LT906482.1	2455	3057	+	SNW05792.1			Intracellular septation protein	yciB		SAMEA4412678_00003	603	200	
gene	protein_coding	GCA_900187105.1	Primary Assembly	chromosome	1	LT906482.1	3134	3445	+							SAMEA4412678_00004	312		
CDS	with_protein	GCA_900187105.1	Primary Assembly	chromosome	1	LT906482.1	3134	3445	+	SNW05795.1			Uncharacterised protein			SAMEA4412678_00004	312	103	
gene	protein_coding	GCA_900187105.1	Primary Assembly	chromosome	1	LT906482.1	3520	4137	+					tmk		SAMEA4412678_00005	618		
CDS	with_protein	GCA_900187105.1	Primary Assembly	chromosome	1	LT906482.1	3520	4137	+	SNW05799.1			Thymidylate kinase	tmk		SAMEA4412678_00005	618	205	
gene	protein_coding	GCA_900187105.1	Primary Assembly	chromosome	1	LT906482.1	4228	4629	+							SAMEA4412678_00006	402		
CDS	with_protein	GCA_900187105.1	Primary Assembly	chromosome	1	LT906482.1	4228	4629	+	SNW05802.1			Uncharacterised protein			SAMEA4412678_00006	402	133	
gene	protein_coding	GCA_900187105.1	Primary Assembly	chromosome	1	LT906482.1	4689	6671	+					tktA		SAMEA4412678_00007	1983		
CDS	with_protein	GCA_900187105.1	Primary Assembly	chromosome	1	LT906482.1	4689	6671	+	SNW05806.1			Transketolase 1	tktA		SAMEA4412678_00007	1983	660	
gene	protein_coding	GCA_900187105.1	Primary Assembly	chromosome	1	LT906482.1	7093	9117	+							SAMEA4412678_00008	2025		
CDS	with_protein	GCA_900187105.1	Primary Assembly	chromosome	1	LT906482.1	7093	9117	+	SNW05811.1			oligopeptide transporter, OPT family			SAMEA4412678_00008	2025	674	
