domain	phylum	class	order	family	genus	species	genbank	protein	prokka	description	oldname
Bacteria	Planctomycetota	Planctomycetia	Pirellulales	Pirellulaceae	Anatilimnocola	Anatilimnocola_aggregata	CP036274.1	QDU29130	NA	colicin uptake protein TolQ	QDU29130.1_colicin_uptake_protein_TolQ_[Anatilimn
Bacteria	Bacteroidota	Cytophagia	Cytophagales	Cytophagaceae	Cytophaga	Cytophaga_sp.	JACMRE010000413.1	MBC7451700	NA	MAG MotA/TolQ/ExbB proton channel family protein	MBC7451700.1_MAG:_MotA/TolQ/ExbB_proton_channel_f
Bacteria	Deferribacteres	Deferribacteres	Deferribacterales	Flexistipitaceae	Flexistipes	Flexistipes_sinusarabici_DSM_4947	CP002858.1	AEI15149	NA	MotA/TolQ/ExbB proton channel	AEI15149.1_MotA/TolQ/ExbB_proton_channel_[Flexist
Bacteria	Planctomycetota	Planctomycetia	Pirellulales	Pirellulaceae	Anatilimnocola	Anatilimnocola_aggregata	CP036274.1	QDU25761	NA	Biopolymer transport protein ExbB	QDU25761.1_Biopolymer_transport_protein_ExbB_[Ana
Bacteria	Bacillota	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Moorella	Moorella_thermoacetica	CP017237.1	APC08935	NA	chemotaxis protein PomA	APC08935.1_chemotaxis_protein_PomA_[Moorella_ther
Bacteria	Bacillota	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	Brevibacillus_laterosporus_DSM_25	CP017705.1	ATO49967	NA	flagellar motor protein MotA	ATO49967.1_flagellar_motor_protein_MotA_[Brevibac
Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Terriglobus	Terriglobus_roseus_DSM_18391	CP003379.1	AFL88814	NA	flagellar motor component	AFL88814.1_flagellar_motor_component_[Terriglobus
Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Brevundimonas_subvibrioides_ATCC_15264	CP002102.1	ADL01024	NA	MotA/TolQ/ExbB proton channel	ADL01024.1_MotA/TolQ/ExbB_proton_channel_[Brevund
Bacteria	Nitrospirae	Thermodesulfovibrionia	Thermodesulfovibrionales	Dissulfurispiraceae	Dissulfurispira	Dissulfurispira_thermophila	AP022873.1	BCB96091	NA	chemotaxis protein MotA	BCB96091.1_chemotaxis_protein_MotA_[Dissulfurispi
Bacteria	Bacteroidota	Cytophagia	Cytophagales	Cytophagaceae	Cytophaga	Cytophaga_sp.	JACMRE010000271.1	MBC7451057	NA	MAG MotA/TolQ/ExbB proton channel family protein	MBC7451057.1_MAG:_MotA/TolQ/ExbB_proton_channel_f
Bacteria	Planctomycetota	Planctomycetia	Pirellulales	Pirellulaceae	Anatilimnocola	Anatilimnocola_aggregata	CP036274.1	QDU31292	NA	Biopolymer transport protein ExbB	QDU31292.1_Biopolymer_transport_protein_ExbB_[Ana
Bacteria	Planctomycetota	Planctomycetia	Pirellulales	Pirellulaceae	Lignipirellula	Lignipirellula_cremea	CP036433.1	QDU94732	NA	colicin uptake protein TolQ	QDU94732.1_colicin_uptake_protein_TolQ_[Lignipire
Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Weizmannia	Weizmannia_coagulans_DSM_1_=_ATCC_7050	CP009709.1	AJH79515	NA	motA/TolQ/ExbB proton channel family protein	AJH79515.1_motA/TolQ/ExbB_proton_channel_family_p
Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Luteolibacter	Luteolibacter_luteus	CP051774.1	QJE97904	NA	DUF2341 domain-containing protein	QJE97904.1_DUF2341_domain-containing_protein_[Lut
Bacteria	Aquificae	Aquificae	Aquificales	Aquificaceae	Thermocrinis	Thermocrinis_ruber	CP007028.1	AHE96301	NA	biopolymer transporter ExbB	AHE96301.1_biopolymer_transporter_ExbB_[Thermocri
Bacteria	Planctomycetota	Planctomycetia	Pirellulales	Pirellulaceae	Anatilimnocola	Anatilimnocola_aggregata	CP036274.1	QDU27457	NA	MotA/TolQ/ExbB proton channel family protein	QDU27457.1_MotA/TolQ/ExbB_proton_channel_family_p
Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria_innocua	CP095724.1	UPH48256	NA	flagellar motor stator protein MotA	UPH48256.1_flagellar_motor_stator_protein_MotA_[L
Bacteria	Pseudomonadota	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Cellvibrio	Cellvibrio_japonicus	CP043306.1	QEI18407	NA	MotA/TolQ/ExbB proton channel family protein	QEI18407.1_MotA/TolQ/ExbB_proton_channel_family_p
Bacteria	Pseudomonadota	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Saccharophagus	Saccharophagus_degradans_2-40	CP000282.1	ABD79617	NA	MotA/TolQ/ExbB proton channel	ABD79617.1_MotA/TolQ/ExbB_proton_channel_[Sacchar
Bacteria	Bacillota	Clostridia	Eubacteriales	Symbiobacteriaceae	Symbiobacterium	Symbiobacterium_thermophilum_IAM_14863	AP006840.1	BAD41956	NA	flagellar motor protein MotA	BAD41956.1_flagellar_motor_protein_MotA_[Symbioba
