feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_900474605.1	Primary Assembly	chromosome	1	LS483306.1	1	1335	+					dnaA		NCTC12421_00001	1335		
CDS	with_protein	GCA_900474605.1	Primary Assembly	chromosome	1	LS483306.1	1	1335	+	SQE53759.1			chromosomal replication initiator protein dnaA	dnaA		NCTC12421_00001	1335	444	
gene	protein_coding	GCA_900474605.1	Primary Assembly	chromosome	1	LS483306.1	1525	2655	+					dnaN		NCTC12421_00002	1131		
CDS	with_protein	GCA_900474605.1	Primary Assembly	chromosome	1	LS483306.1	1525	2655	+	SQE53760.1			DNA polymerase III, beta subunit	dnaN		NCTC12421_00002	1131	376	
gene	protein_coding	GCA_900474605.1	Primary Assembly	chromosome	1	LS483306.1	3105	3260	+							NCTC12421_00003	156		
CDS	with_protein	GCA_900474605.1	Primary Assembly	chromosome	1	LS483306.1	3105	3260	+	SQE53761.1			prevent-host-death family protein			NCTC12421_00003	156	51	
gene	protein_coding	GCA_900474605.1	Primary Assembly	chromosome	1	LS483306.1	3406	3978	+					rfbD		NCTC12421_00004	573		
CDS	with_protein	GCA_900474605.1	Primary Assembly	chromosome	1	LS483306.1	3406	3978	+	SQE53762.1			dTDP-4-dehydrorhamnose reductase	rfbD		NCTC12421_00004	573	190	
gene	protein_coding	GCA_900474605.1	Primary Assembly	chromosome	1	LS483306.1	4038	4307	+							NCTC12421_00005	270		
CDS	with_protein	GCA_900474605.1	Primary Assembly	chromosome	1	LS483306.1	4038	4307	+	SQE53763.1			dTDP-4-dehydrorhamnose reductase			NCTC12421_00005	270	89	
gene	protein_coding	GCA_900474605.1	Primary Assembly	chromosome	1	LS483306.1	4429	5640	+					bacE		NCTC12421_00006	1212		
CDS	with_protein	GCA_900474605.1	Primary Assembly	chromosome	1	LS483306.1	4429	5640	+	SQE53764.1			Putative bacilysin exporter BacE	bacE		NCTC12421_00006	1212	403	
gene	protein_coding	GCA_900474605.1	Primary Assembly	chromosome	1	LS483306.1	5777	5968	+							NCTC12421_00007	192		
CDS	with_protein	GCA_900474605.1	Primary Assembly	chromosome	1	LS483306.1	5777	5968	+	SQE53765.1			toxin-antitoxin system, antitoxin component			NCTC12421_00007	192	63	
gene	protein_coding	GCA_900474605.1	Primary Assembly	chromosome	1	LS483306.1	6367	6615	+							NCTC12421_00008	249		
CDS	with_protein	GCA_900474605.1	Primary Assembly	chromosome	1	LS483306.1	6367	6615	+	SQE53766.1			S4 domain-containing protein YaaA			NCTC12421_00008	249	82	
gene	protein_coding	GCA_900474605.1	Primary Assembly	chromosome	1	LS483306.1	6602	7741	+					recF		NCTC12421_00009	1140		
CDS	with_protein	GCA_900474605.1	Primary Assembly	chromosome	1	LS483306.1	6602	7741	+	SQE53767.1			recombination protein F, RecF	recF		NCTC12421_00009	1140	379	
gene	protein_coding	GCA_900474605.1	Primary Assembly	chromosome	1	LS483306.1	7768	9717	+					gyrB		NCTC12421_00010	1950		
CDS	with_protein	GCA_900474605.1	Primary Assembly	chromosome	1	LS483306.1	7768	9717	+	SQE53768.1			DNA gyrase subunit B	gyrB		NCTC12421_00010	1950	649	
gene	protein_coding	GCA_900474605.1	Primary Assembly	chromosome	1	LS483306.1	9738	12242	+					gyrA		NCTC12421_00011	2505		
CDS	with_protein	GCA_900474605.1	Primary Assembly	chromosome	1	LS483306.1	9738	12242	+	SQE53769.1			DNA gyrase, A subunit	gyrA		NCTC12421_00011	2505	834	
gene	protein_coding	GCA_900474605.1	Primary Assembly	chromosome	1	LS483306.1	12459	12830	+					mmcQ		NCTC12421_00012	372		
CDS	with_protein	GCA_900474605.1	Primary Assembly	chromosome	1	LS483306.1	12459	12830	+	SQE53770.1			MmcQ family protein	mmcQ		NCTC12421_00012	372	123	
gene	protein_coding	GCA_900474605.1	Primary Assembly	chromosome	1	LS483306.1	12827	13900	+							NCTC12421_00013	1074		
CDS	with_protein	GCA_900474605.1	Primary Assembly	chromosome	1	LS483306.1	12827	13900	+	SQE53771.1			endonuclease/Exonuclease/phosphatase family protein			NCTC12421_00013	1074	357	
gene	protein_coding	GCA_900474605.1	Primary Assembly	chromosome	1	LS483306.1	14159	14458	+					rpsF		NCTC12421_00014	300		
