MotA			MotB
ACL94252.1		AHI88541_hypothetical protein_Caulobacter vibrioides NA1000 (a-proteobacteria)
ADB16663.1		ADB16661_hypothetical protein_Pirellula staleyi DSM 6068
ADV62354.1		ADV62319_hypothetical protein_Isosphaera pallida ATCC 43644
ADY58078.1		ADY58079_hypothetical protein_Rubinisphaera brasiliensis DSM 5305 (planctomycetes)
ADY58376.1		ADY58375_Cell wall assembly/cell proliferation coordinating protein, KNR4_Rubinisphaera brasiliensis DSM 5305 (planctomycetes)
AEI88772.1		AEI88773_hypothetical protein_Candidatus Midichloria mitochondrii IricVA (a-proteobacteria)
AEM22241.1		AEM22237_propanediol utilization protein PduB_Brachyspira intermedia PWS/A (bacteria)
AEO47025.1		AEO47024_two component, sigma54 specific, Fis family transcriptional regulator_Rhodospirillum rubrum F11 (a-proteobacteria)
AGR80198.1		AGR80825_hypothetical protein_Anaplasma phagocytophilum str. JM (agent of human granulocytic ehrlichiosis)
AIK95558.1		AIK95531_farnesyltranstransferase_Candidatus Paracaedibacter acanthamoebae (a-proteobacteria)
CCG56832.1		CCG56828_putative antibiotic resistance protein_Brachyspira pilosicoli WesB (bacteria)
EKT88755.1		EKT85765_hypothetical protein_Leptospira santarosai serovar Shermani str. LT 821 (bacteria)
QSR84237.1		QSR84239_anthranilate synthase component I_Methylacidimicrobium sp. B4 (verrucomicrobia)
