# hmmsearch :: search profile(s) against a sequence database
# HMMER 3.3.2 (Nov 2020); http://hmmer.org/
# Copyright (C) 2020 Howard Hughes Medical Institute.
# Freely distributed under the BSD open source license.
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# query HMM file:                  IPR003400.hmm
# target sequence database:        /Users/nmat471/Downloads/z_proteomes_wFns/proteins_orig_plus_flag1-5_wFNs.fasta
# MSA of all hits saved to file:   IPR003400_MotB_ExbD_TolR_hits_alned2.sto
# per-seq hits tabular output:     IPR003400_MotB_ExbD_TolR_seqHitsTable2.txt
# show alignments in output:       no
# domain inclusion threshold:      E-value <= 2
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -

Query:       ExbD  [M=128]
Accession:   PF02472.19
Description: Biopolymer transport protein ExbD/TolR
Scores for complete sequences (score includes all domains):
   --- full sequence ---   --- best 1 domain ---    -#dom-
    E-value  score  bias    E-value  score  bias    exp  N  Sequence       Description
    ------- ------ -----    ------- ------ -----   ---- --  --------       -----------
    5.1e-37  132.7   0.2    5.7e-37  132.5   0.2    1.0  1  QEI19038.1      biopolymer transporter ExbD [Cellvibrio japon
    3.1e-36  130.1   0.8    3.5e-36  130.0   0.8    1.0  1  ABF92022.1      transport energizing protein TolR [Myxococcus
    3.3e-36  130.1   0.8    3.7e-36  129.9   0.8    1.0  1  UEO06635.1      protein TolR [Myxococcus xanthus DZ2]|GCA_020
    3.3e-36  130.1   0.8    3.7e-36  129.9   0.8    1.0  1  WP_020480666.1  MULTISPECIES: protein TolR [Myxococcus]|GCF_0
    5.6e-36  129.3   0.1    6.2e-36  129.2   0.1    1.0  1  EGW21660.1      Biopolymer transport protein ExbD/TolR [Methy
    7.7e-36  128.9   1.1    8.7e-36  128.7   1.1    1.0  1  AFE10517.1      transport energizing protein TolR [Corallococ
    2.8e-35  127.1   0.4    3.1e-35  126.9   0.4    1.0  1  ATX79747.1      Cell division and transport-associated protei
    4.8e-35  126.3   0.2    5.4e-35  126.1   0.2    1.0  1  ATX81938.1      Cell division and transport-associated protei
    7.6e-35  125.6   1.5    9.5e-35  125.3   1.5    1.0  1  ADO74177.1      Transport energizing protein TolR [Stigmatell
    9.5e-35  125.3   1.5    1.1e-34  125.2   1.5    1.0  1  ABK37979.1      biopolymer transport exbD2 protein [Aeromonas
      1e-34  125.2   0.1    1.1e-34  125.1   0.1    1.0  1  ABE49146.1      outer membrane transport energization protein
      1e-34  125.2   0.1    1.1e-34  125.1   0.1    1.0  1  ABE49290.1      outer membrane transport energization protein
    1.1e-34  125.1   1.5    1.3e-34  124.9   1.5    1.0  1  EKB22830.1      hypothetical protein HMPREF1168_00886 [Aeromo
    1.2e-34  125.0   1.4    1.4e-34  124.8   1.4    1.0  1  ATP11541.1      ExbD family protein [Aeromonas salmonicida su
    1.4e-34  124.7   0.3    1.6e-34  124.6   0.3    1.0  1  QCG49910.1      biopolymer transporter ExbD [Aeromonas schube
    2.1e-34  124.3   0.0    2.3e-34  124.1   0.0    1.0  1  AAZ96664.1      putative biopolymer transport protein [Thioba
    2.2e-34  124.1   0.4    2.5e-34  124.0   0.4    1.0  1  AEI15148.1      Biopolymer transport protein ExbD/TolR [Flexi
    3.8e-34  123.4   1.1    4.4e-34  123.2   1.1    1.0  1  SLM46358.1      Biopolymer transport protein ExbD [Nitrospira
    7.7e-34  122.4   2.4    8.6e-34  122.2   2.4    1.0  1  CAL34349.1      biopolymer transport protein [Campylobacter j
    7.9e-34  122.4   1.0    9.7e-34  122.1   1.0    1.0  1  APW44369.1      biopolymer transporter ExbD [Rhodoferax saide
    1.1e-33  121.9   1.2    1.2e-33  121.8   1.2    1.0  1  AAZ27840.1      biopolymer transport exbD protein [Colwellia 
    1.1e-33  121.9   0.1    1.2e-33  121.7   0.1    1.0  1  ABI59860.1      outer membrane transport energization protein
    1.3e-33  121.7   0.4    1.4e-33  121.5   0.4    1.0  1  EED66569.1      Biopolymer transport protein ExbD/TolR [Comam
    1.8e-33  121.2   0.1    2.1e-33  121.0   0.1    1.0  1  CAJ49728.1      biopolymer transport protein [Bordetella aviu
    2.3e-33  120.9   2.2    2.5e-33  120.7   2.2    1.0  1  AAV82688.1      Biopolymer transport protein [Idiomarina loih
      3e-33  120.5   0.3    3.4e-33  120.3   0.3    1.0  1  ABC34510.1      biopolymer transport protein, ExbD/TolR famil
    3.8e-33  120.1   2.5    4.2e-33  120.0   2.5    1.0  1  AAR33362.1      biopolymer transport membrane protein, TolR-r
    3.9e-33  120.1   0.8    4.4e-33  120.0   0.8    1.0  1  ADD67875.1      Biopolymer transport protein ExbD/TolR [Denit
    4.2e-33  120.0   0.5    4.7e-33  119.9   0.5    1.0  1  QXB09425.1      TonB system transport protein ExbD [Klebsiell
    4.2e-33  120.0   0.2    4.7e-33  119.8   0.2    1.0  1  CAH37814.1      putative biopolymer transport protein [Burkho
    4.5e-33  119.9   0.2      5e-33  119.8   0.2    1.0  1  AAU45829.1      biopolymer transport protein, ExbD/TolR famil
    4.7e-33  119.9   0.7    5.2e-33  119.7   0.7    1.0  1  KOR01484.1      biopolymer transporter ExbD [Pluralibacter ge
    6.1e-33  119.5   1.1    7.4e-33  119.2   1.1    1.0  1  ABA59127.1      Biopolymer transport protein ExbD/TolR [Nitro
      7e-33  119.3   0.4    7.8e-33  119.1   0.4    1.0  1  CAQ69979.1      BIOPOLYMER TRANSPORT PROTEIN [Cupriavidus tai
    8.2e-33  119.1   1.6      9e-33  118.9   1.6    1.0  1  AMO81032.1      biopolymer transport protein ExbD [Obesumbact
    8.6e-33  119.0   0.3    9.6e-33  118.9   0.3    1.0  1  KLP54538.1      biopolymer transporter ExbD [Enterobacter gen
      9e-33  119.0   0.3      1e-32  118.8   0.3    1.0  1  PAN73342.1      TonB system transport protein ExbD [Enterobac
