seqnames	i	seqid	accession	matchnums_seqids_to_bigdf	Entry	Entry Name	Gene Names	Protein names	Organism	Organism (ID)	Reviewed	RefSeq	CDD	Pfam	Gene encoded by	Length	Mass	matchnums_seqids_to_bigdf	Entry	PDBsum	matchnums_seqids_to_bigdf	Entry	PDB	matchnums_seqids_to_bigdf	Entry	AlphaFoldDB	counts_identical_proteins	seqids_wGenBank_codes_txt	seqids_wGenBank_codes_counts
AAC07752_Aquificae_Aquifex_aeolicus	1	AAC07752	O67795	149	O67795	O67795_AQUAE	tolQ aq_1988	TolQ-like protein	Aquifex aeolicus (strain VF5)	224324	unreviewed	NP_214364.1;WP_010881300.1;		PF01618;		204	22461	149	O67795	O67795	149	O67795	O67795	149	O67795	O67795;	2	WP_010881300.1	1
AAC73831_Pseudomonadota_Escherichia_coli	2	AAC73831	P0ABU9	3	P0ABU9	TOLQ_ECOLI	tolQ fii b0737 JW0727	Tol-Pal system protein TolQ	Escherichia coli (strain K12)	83333	reviewed	NP_415265.1;WP_000131314.1;		PF01618;		230	25598	3	P0ABU9	8ODT;	3	P0ABU9	8ODT;	3	P0ABU9	P0ABU9;	256018	NP_308799.1,WP_000131314.1	2
AAC74960_Pseudomonadota_Escherichia_coli	3	AAC74960	P09348	1	P09348	MOTA_ECOLI	motA flaJ b1890 JW1879	Motility protein A (Chemotaxis protein MotA)	Escherichia coli (strain K12)	83333	reviewed	NP_416404.1;WP_000906340.1;		PF01618;PF20560;		295	32011	1	P09348	P09348	1	P09348	P09348	1	P09348	P09348;	59582	NP_416404.1,WP_000906340.1	2
AAC76042_Pseudomonadota_Escherichia_coli	4	AAC76042	P0ABU7	2	P0ABU7	EXBB_ECOLI	exbB b3006 JW2974	Biopolymer transport protein ExbB	Escherichia coli (strain K12)	83333	reviewed	NP_417479.1;WP_000527844.1;		PF01618;		244	26287	2	P0ABU7	5SV0;5SV1;5ZFP;5ZFU;5ZFV;6TYI;	2	P0ABU7	5SV0;5SV1;5ZFP;5ZFU;5ZFV;6TYI;	2	P0ABU7	P0ABU7;	277791	NP_311917.1,WP_000527844.1	2
AAG03587_Pseudomonadota_Pseudomonas_aeruginosa	5	AAG03587	G3XCW0	137	G3XCW0	G3XCW0_PSEAE	exbB1 PA0198	Transport protein ExbB	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	208964	unreviewed	NP_248889.1;WP_003083979.1;		PF01618;		239	25520	137	G3XCW0	G3XCW0	137	G3XCW0	G3XCW0	137	G3XCW0	G3XCW0;	24102	NP_248889.1,WP_003083979.1	2
AAG04082_Pseudomonadota_Pseudomonas_aeruginosa	6	AAG04082	Q9I5N3	27	Q9I5N3	Q9I5N3_PSEAE	exbB2 PA0693	Transport protein ExbB2	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	208964	unreviewed	NP_249384.1;WP_003112717.1;		PF10102;PF13385;PF01618;		615	65229	27	Q9I5N3	Q9I5N3	27	Q9I5N3	Q9I5N3	27	Q9I5N3	Q9I5N3;	1604	NP_249384.1,WP_003112717.1	2
AAG04358_Pseudomonadota_Pseudomonas_aeruginosa	7	AAG04358	P50598	20	P50598	TOLQ_PSEAE	tolQ PA0969	Tol-Pal system protein TolQ	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	208964	reviewed	NP_249660.1;WP_003086125.1;		PF01618;		231	25282	20	P50598	P50598	20	P50598	P50598	20	P50598	P50598;	27894	NP_249660.1,WP_003086125.1	2
AAG04849_Pseudomonadota_Pseudomonas_aeruginosa	8	AAG04849	G3XD73	18	G3XD73	G3XD73_PSEAE	motC PA1460	MotC	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	208964	unreviewed	NP_250151.1;WP_003083089.1;		PF01618;PF20560;		246	25959	18	G3XD73	G3XD73	18	G3XD73	G3XD73	18	G3XD73	G3XD73;	21998	NP_250151.1,WP_003083089.1	2
AAG06371_Pseudomonadota_Pseudomonas_aeruginosa	9	AAG06371	Q9HZM1	166	Q9HZM1	Q9HZM1_PSEAE	PA2983	Probable tolQ-type transport protein	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	208964	unreviewed	NP_251673.1;WP_003091163.1;		PF01618;		211	22890	166	Q9HZM1	Q9HZM1	166	Q9HZM1	Q9HZM1	166	Q9HZM1	Q9HZM1;	28165	NP_251673.1,WP_003091163.1	2
AAG08339_Pseudomonadota_Pseudomonas_aeruginosa	10	AAG08339	Q9HUL1	26	Q9HUL1	Q9HUL1_PSEAE	motA PA4954	Chemotaxis protein MotA	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	208964	unreviewed	NP_253641.1;WP_003102044.1;		PF01618;PF20560;		283	30094	26	Q9HUL1	Q9HUL1	26	Q9HUL1	Q9HUL1	26	Q9HUL1	Q9HUL1;	12842	NP_253641.1,WP_003102044.1	2
