feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_900097105.1	Primary Assembly	chromosome	I	LT629973.1	1	1395	+							PYTT_0001	1395		partial
CDS	with_protein	GCA_900097105.1	Primary Assembly	chromosome	I	LT629973.1	1	1395	+	SEH68929.1			trp repressor/replication initiator			PYTT_0001	1395	464	partial
gene	protein_coding	GCA_900097105.1	Primary Assembly	chromosome	I	LT629973.1	1489	3585	-							PYTT_0002	2097		
CDS	with_protein	GCA_900097105.1	Primary Assembly	chromosome	I	LT629973.1	1489	3585	-	SEH68953.1			tetratricopeptide-like helical domain			PYTT_0002	2097	698	
gene	protein_coding	GCA_900097105.1	Primary Assembly	chromosome	I	LT629973.1	3814	4002	-							PYTT_0003	189		
CDS	with_protein	GCA_900097105.1	Primary Assembly	chromosome	I	LT629973.1	3814	4002	-	SEH68973.1			Hypothetical protein			PYTT_0003	189	62	
gene	protein_coding	GCA_900097105.1	Primary Assembly	chromosome	I	LT629973.1	4092	6023	-							PYTT_0004	1932		
CDS	with_protein	GCA_900097105.1	Primary Assembly	chromosome	I	LT629973.1	4092	6023	-	SEH68986.1			beta-hexosaminidase			PYTT_0004	1932	643	
gene	protein_coding	GCA_900097105.1	Primary Assembly	chromosome	I	LT629973.1	6483	14501	+							PYTT_0005	8019		
CDS	with_protein	GCA_900097105.1	Primary Assembly	chromosome	I	LT629973.1	6483	14501	+	SEH69005.1			autotransporter beta-domain			PYTT_0005	8019	2672	
gene	protein_coding	GCA_900097105.1	Primary Assembly	chromosome	I	LT629973.1	14833	17049	-							PYTT_0006	2217		
CDS	with_protein	GCA_900097105.1	Primary Assembly	chromosome	I	LT629973.1	14833	17049	-	SEH69023.1			beta-hexosaminidase			PYTT_0006	2217	738	
gene	protein_coding	GCA_900097105.1	Primary Assembly	chromosome	I	LT629973.1	17247	18056	-							PYTT_0007	810		
CDS	with_protein	GCA_900097105.1	Primary Assembly	chromosome	I	LT629973.1	17247	18056	-	SEH69041.1			enoyl-(acyl carrier protein) reductase			PYTT_0007	810	269	
gene	protein_coding	GCA_900097105.1	Primary Assembly	chromosome	I	LT629973.1	18093	18545	-							PYTT_0008	453		
CDS	with_protein	GCA_900097105.1	Primary Assembly	chromosome	I	LT629973.1	18093	18545	-	SEH69054.1			Hypothetical protein			PYTT_0008	453	150	
gene	protein_coding	GCA_900097105.1	Primary Assembly	chromosome	I	LT629973.1	18739	19176	+							PYTT_0009	438		
CDS	with_protein	GCA_900097105.1	Primary Assembly	chromosome	I	LT629973.1	18739	19176	+	SEH69072.1			Hypothetical protein			PYTT_0009	438	145	
gene	protein_coding	GCA_900097105.1	Primary Assembly	chromosome	I	LT629973.1	19270	19743	+							PYTT_0010	474		
CDS	with_protein	GCA_900097105.1	Primary Assembly	chromosome	I	LT629973.1	19270	19743	+	SEH69092.1			endoribonuclease l-psp/chorismate mutase-like			PYTT_0010	474	157	
gene	protein_coding	GCA_900097105.1	Primary Assembly	chromosome	I	LT629973.1	20003	20584	+							PYTT_0011	582		
CDS	with_protein	GCA_900097105.1	Primary Assembly	chromosome	I	LT629973.1	20003	20584	+	SEH69111.1			polymer-forming cytoskeletal			PYTT_0011	582	193	
gene	protein_coding	GCA_900097105.1	Primary Assembly	chromosome	I	LT629973.1	20677	21336	+							PYTT_0012	660		
CDS	with_protein	GCA_900097105.1	Primary Assembly	chromosome	I	LT629973.1	20677	21336	+	SEH69130.1			polymer-forming cytoskeletal			PYTT_0012	660	219	
gene	protein_coding	GCA_900097105.1	Primary Assembly	chromosome	I	LT629973.1	21333	23825	+							PYTT_0013	2493		
CDS	with_protein	GCA_900097105.1	Primary Assembly	chromosome	I	LT629973.1	21333	23825	+	SEH69143.1			abc transporters family signature.			PYTT_0013	2493	830	
gene	protein_coding	GCA_900097105.1	Primary Assembly	chromosome	I	LT629973.1	23836	24444	-							PYTT_0014	609		
CDS	with_protein	GCA_900097105.1	Primary Assembly	chromosome	I	LT629973.1	23836	24444	-	SEH69162.1			metal-dependent hydrolase			PYTT_0014	609	202	
gene	protein_coding	GCA_900097105.1	Primary Assembly	chromosome	I	LT629973.1	24520	26259	-							PYTT_0015	1740		
CDS	with_protein	GCA_900097105.1	Primary Assembly	chromosome	I	LT629973.1	24520	26259	-	SEH69178.1			pyridoxal phosphate-dependent transferase			PYTT_0015	1740	579	
gene	protein_coding	GCA_900097105.1	Primary Assembly	chromosome	I	LT629973.1	26798	27781	+							PYTT_0016	984		
CDS	with_protein	GCA_900097105.1	Primary Assembly	chromosome	I	LT629973.1	26798	27781	+	SEH69194.1			sel1 repeat			PYTT_0016	984	327	
gene	protein_coding	GCA_900097105.1	Primary Assembly	chromosome	I	LT629973.1	28131	28826	-							PYTT_0017	696		
CDS	with_protein	GCA_900097105.1	Primary Assembly	chromosome	I	LT629973.1	28131	28826	-	SEH69208.1			tigr00096: 16s rrna (cytidine(1402)-2'-o)-methyltransferase			PYTT_0017	696	231	
gene	protein_coding	GCA_900097105.1	Primary Assembly	chromosome	I	LT629973.1	28838	29359	-							PYTT_0018	522		
CDS	with_protein	GCA_900097105.1	Primary Assembly	chromosome	I	LT629973.1	28838	29359	-	SEH69223.1			lipopolysaccharide-assembly			PYTT_0018	522	173	
gene	protein_coding	GCA_900097105.1	Primary Assembly	chromosome	I	LT629973.1	29356	30336	-							PYTT_0019	981		
CDS	with_protein	GCA_900097105.1	Primary Assembly	chromosome	I	LT629973.1	29356	30336	-	SEH69235.1			outer membrane lipoprotein			PYTT_0019	981	326	
gene	protein_coding	GCA_900097105.1	Primary Assembly	chromosome	I	LT629973.1	30412	30894	-							PYTT_0020	483		
CDS	with_protein	GCA_900097105.1	Primary Assembly	chromosome	I	LT629973.1	30412	30894	-	SEH69247.1			phosphoribosyl-amp cyclohydrolase			PYTT_0020	483	160	
gene	protein_coding	GCA_900097105.1	Primary Assembly	chromosome	I	LT629973.1	30906	31952	+							PYTT_0021	1047		
CDS	with_protein	GCA_900097105.1	Primary Assembly	chromosome	I	LT629973.1	30906	31952	+	SEH69263.1			dna polymerase iii delta subunit			PYTT_0021	1047	348	
gene	protein_coding	GCA_900097105.1	Primary Assembly	chromosome	I	LT629973.1	32107	32598	+							PYTT_0022	492		
CDS	with_protein	GCA_900097105.1	Primary Assembly	chromosome	I	LT629973.1	32107	32598	+	SEH69279.1			tigr00244: transcriptional regulator nrdr			PYTT_0022	492	163	
gene	protein_coding	GCA_900097105.1	Primary Assembly	chromosome	I	LT629973.1	32602	33117	+							PYTT_0023	516		
CDS	with_protein	GCA_900097105.1	Primary Assembly	chromosome	I	LT629973.1	32602	33117	+	SEH69295.1			Hypothetical protein			PYTT_0023	516	171	
gene	protein_coding	GCA_900097105.1	Primary Assembly	chromosome	I	LT629973.1	33157	34122	+							PYTT_0024	966		
CDS	with_protein	GCA_900097105.1	Primary Assembly	chromosome	I	LT629973.1	33157	34122	+	SEH69305.1			abc transporter			PYTT_0024	966	321	
gene	protein_coding	GCA_900097105.1	Primary Assembly	chromosome	I	LT629973.1	34119	35540	+							PYTT_0025	1422		
CDS	with_protein	GCA_900097105.1	Primary Assembly	chromosome	I	LT629973.1	34119	35540	+	SEH69320.1			Hypothetical protein			PYTT_0025	1422	473	
gene	protein_coding	GCA_900097105.1	Primary Assembly	chromosome	I	LT629973.1	35580	36611	-							PYTT_0026	1032		
CDS	with_protein	GCA_900097105.1	Primary Assembly	chromosome	I	LT629973.1	35580	36611	-	SEH69335.1			nucleotide-diphospho-sugar transferases			PYTT_0026	1032	343	
gene	protein_coding	GCA_900097105.1	Primary Assembly	chromosome	I	LT629973.1	36581	38137	-							PYTT_0027	1557		
CDS	with_protein	GCA_900097105.1	Primary Assembly	chromosome	I	LT629973.1	36581	38137	-	SEH69349.1			Hypothetical protein			PYTT_0027	1557	518	
gene	protein_coding	GCA_900097105.1	Primary Assembly	chromosome	I	LT629973.1	38244	39536	-							PYTT_0028	1293		
CDS	with_protein	GCA_900097105.1	Primary Assembly	chromosome	I	LT629973.1	38244	39536	-	SEH69362.1			s-adenosyl-l-methionine-dependent methyltransferase			PYTT_0028	1293	430	
gene	protein_coding	GCA_900097105.1	Primary Assembly	chromosome	I	LT629973.1	39533	40459	-							PYTT_0029	927		
CDS	with_protein	GCA_900097105.1	Primary Assembly	chromosome	I	LT629973.1	39533	40459	-	SEH69372.1			nad(p)-binding domain			PYTT_0029	927	308	
gene	protein_coding	GCA_900097105.1	Primary Assembly	chromosome	I	LT629973.1	40652	41659	+							PYTT_0030	1008		
CDS	with_protein	GCA_900097105.1	Primary Assembly	chromosome	I	LT629973.1	40652	41659	+	SEH69394.1			asd b: aspartate-semialdehyde dehydrogenase			PYTT_0030	1008	335	
gene	protein_coding	GCA_900097105.1	Primary Assembly	chromosome	I	LT629973.1	41716	42600	+							PYTT_0031	885		
CDS	with_protein	GCA_900097105.1	Primary Assembly	chromosome	I	LT629973.1	41716	42600	+	SEH69404.1			polyprenyl synthetase			PYTT_0031	885	294	
gene	protein_coding	GCA_900097105.1	Primary Assembly	chromosome	I	LT629973.1	42611	43468	+							PYTT_0032	858		
CDS	with_protein	GCA_900097105.1	Primary Assembly	chromosome	I	LT629973.1	42611	43468	+	SEH69429.1			nadc: nicotinate-nucleotide diphosphorylase (carboxylating)			PYTT_0032	858	285	
gene	protein_coding	GCA_900097105.1	Primary Assembly	chromosome	I	LT629973.1	43610	44641	-							PYTT_0033	1032		
CDS	with_protein	GCA_900097105.1	Primary Assembly	chromosome	I	LT629973.1	43610	44641	-	SEH69446.1			Hypothetical protein			PYTT_0033	1032	343	
gene	protein_coding	GCA_900097105.1	Primary Assembly	chromosome	I	LT629973.1	44976	54833	-							PYTT_0034	9858		
CDS	with_protein	GCA_900097105.1	Primary Assembly	chromosome	I	LT629973.1	44976	54833	-	SEH69458.1			autotransporter beta-domain			PYTT_0034	9858	3285	
gene	protein_coding	GCA_900097105.1	Primary Assembly	chromosome	I	LT629973.1	55488	57746	+							PYTT_0035	2259		
CDS	with_protein	GCA_900097105.1	Primary Assembly	chromosome	I	LT629973.1	55488	57746	+	SEH69471.1			beta-hexosaminidase			PYTT_0035	2259	752	
gene	protein_coding	GCA_900097105.1	Primary Assembly	chromosome	I	LT629973.1	57837	59840	-							PYTT_0036	2004		
CDS	with_protein	GCA_900097105.1	Primary Assembly	chromosome	I	LT629973.1	57837	59840	-	SEH69485.1			heparinase ii/iii n-terminus			PYTT_0036	2004	667	
gene	tRNA	GCA_900097105.1	Primary Assembly	chromosome	I	LT629973.1	59994	60067	-							PYTT_0037	74		
tRNA		GCA_900097105.1	Primary Assembly	chromosome	I	LT629973.1	59994	60067	-							PYTT_0037	74		
gene	protein_coding	GCA_900097105.1	Primary Assembly	chromosome	I	LT629973.1	60218	61294	+							PYTT_0038	1077		
CDS	with_protein	GCA_900097105.1	Primary Assembly	chromosome	I	LT629973.1	60218	61294	+	SEH69503.1			prfa: peptide chain release factor 1			PYTT_0038	1077	358	
gene	protein_coding	GCA_900097105.1	Primary Assembly	chromosome	I	LT629973.1	61291	62190	+							PYTT_0039	900		
CDS	with_protein	GCA_900097105.1	Primary Assembly	chromosome	I	LT629973.1	61291	62190	+	SEH69518.1			rf mod prmc: protein-(glutamine-n5) methyltransferase release factor-specific			PYTT_0039	900	299	
gene	protein_coding	GCA_900097105.1	Primary Assembly	chromosome	I	LT629973.1	62199	62840	+							PYTT_0040	642		
CDS	with_protein	GCA_900097105.1	Primary Assembly	chromosome	I	LT629973.1	62199	62840	+	SEH69532.1			Hypothetical protein			PYTT_0040	642	213	
gene	protein_coding	GCA_900097105.1	Primary Assembly	chromosome	I	LT629973.1	62884	63417	-							PYTT_0041	534		
CDS	with_protein	GCA_900097105.1	Primary Assembly	chromosome	I	LT629973.1	62884	63417	-	SEH69542.1			Hypothetical protein			PYTT_0041	534	177	
gene	protein_coding	GCA_900097105.1	Primary Assembly	chromosome	I	LT629973.1	63450	64775	-							PYTT_0042	1326		
CDS	with_protein	GCA_900097105.1	Primary Assembly	chromosome	I	LT629973.1	63450	64775	-	SEH69555.1			Hypothetical protein			PYTT_0042	1326	441	
gene	protein_coding	GCA_900097105.1	Primary Assembly	chromosome	I	LT629973.1	64909	67482	-							PYTT_0043	2574		
CDS	with_protein	GCA_900097105.1	Primary Assembly	chromosome	I	LT629973.1	64909	67482	-	SEH69570.1			chaperone clpb: atp-dependent chaperone protein clpb			PYTT_0043	2574	857	
gene	protein_coding	GCA_900097105.1	Primary Assembly	chromosome	I	LT629973.1	67683	68366	+							PYTT_0044	684		
CDS	with_protein	GCA_900097105.1	Primary Assembly	chromosome	I	LT629973.1	67683	68366	+	SEH69584.1			l d-transpeptidase catalytic domain			PYTT_0044	684	227	
gene	protein_coding	GCA_900097105.1	Primary Assembly	chromosome	I	LT629973.1	68506	69171	+							PYTT_0045	666		
