# hmmsearch :: search profile(s) against a sequence database
# HMMER 3.3.2 (Nov 2020); http://hmmer.org/
# Copyright (C) 2020 Howard Hughes Medical Institute.
# Freely distributed under the BSD open source license.
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# query HMM file:                  IPR003400.hmm
# target sequence database:        /Users/nmat471/Downloads/z_genomes_wLitLinks_processing/genomes_wLitLinks+4+22.fasta
# MSA of all hits saved to file:   IPR003400_MotB_ExbD_TolR_hits_alned1.sto
# per-seq hits tabular output:     IPR003400_MotB_ExbD_TolR_seqHitsTable1.txt
# show alignments in output:       no
# domain inclusion threshold:      E-value <= 2
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -

Query:       ExbD  [M=128]
Accession:   PF02472.19
Description: Biopolymer transport protein ExbD/TolR
Scores for complete sequences (score includes all domains):
   --- full sequence ---   --- best 1 domain ---    -#dom-
    E-value  score  bias    E-value  score  bias    exp  N  Sequence       Description
    ------- ------ -----    ------- ------ -----   ---- --  --------       -----------
      3e-36  129.3   0.1    3.4e-36  129.2   0.1    1.0  1  EGW21660.1      Biopolymer transport protein ExbD/TolR [Methy
    5.2e-35  125.3   1.5    5.8e-35  125.2   1.5    1.0  1  ABK37979.1      biopolymer transport exbD2 protein [Aeromonas
    5.5e-35  125.2   0.1    6.1e-35  125.1   0.1    1.0  1  ABE49146.1      outer membrane transport energization protein
    5.5e-35  125.2   0.1    6.1e-35  125.1   0.1    1.0  1  ABE49290.1      outer membrane transport energization protein
    6.2e-35  125.1   1.5    6.9e-35  124.9   1.5    1.0  1  EKB22830.1      hypothetical protein HMPREF1168_00886 [Aeromo
    6.6e-35  125.0   1.4    7.4e-35  124.8   1.4    1.0  1  ATP11541.1      ExbD family protein [Aeromonas salmonicida su
    7.8e-35  124.7   0.3    8.7e-35  124.6   0.3    1.0  1  QCG49910.1      biopolymer transporter ExbD [Aeromonas schube
    1.1e-34  124.3   0.0    1.2e-34  124.1   0.0    1.0  1  AAZ96664.1      putative biopolymer transport protein [Thioba
    5.8e-34  121.9   1.2    6.4e-34  121.8   1.2    1.0  1  AAZ27840.1      biopolymer transport exbD protein [Colwellia 
    5.9e-34  121.9   0.1    6.6e-34  121.7   0.1    1.0  1  ABI59860.1      outer membrane transport energization protein
      7e-34  121.7   0.4    7.7e-34  121.5   0.4    1.0  1  EED66569.1      Biopolymer transport protein ExbD/TolR [Comam
      1e-33  121.2   0.1    1.2e-33  121.0   0.1    1.0  1  CAJ49728.1      biopolymer transport protein [Bordetella aviu
    1.1e-33  121.0   0.0    1.3e-33  120.8   0.0    1.0  1  WP_008760582.1  MULTISPECIES: biopolymer transporter ExbD [Ba
    1.2e-33  120.9   2.2    1.4e-33  120.7   2.2    1.0  1  AAV82688.1      Biopolymer transport protein [Idiomarina loih
    1.6e-33  120.5   0.3    1.8e-33  120.3   0.3    1.0  1  ABC34510.1      biopolymer transport protein, ExbD/TolR famil
    2.3e-33  120.0   0.2    2.6e-33  119.8   0.2    1.0  1  CAH37814.1      putative biopolymer transport protein [Burkho
    2.4e-33  119.9   0.2    2.7e-33  119.8   0.2    1.0  1  AAU45829.1      biopolymer transport protein, ExbD/TolR famil
    2.5e-33  119.9   0.7    2.8e-33  119.7   0.7    1.0  1  KOR01484.1      biopolymer transporter ExbD [Pluralibacter ge
    3.3e-33  119.5   1.1      4e-33  119.2   1.1    1.0  1  ABA59127.1      Biopolymer transport protein ExbD/TolR [Nitro
    3.8e-33  119.3   0.4    4.2e-33  119.1   0.4    1.0  1  CAQ69979.1      BIOPOLYMER TRANSPORT PROTEIN [Cupriavidus tai
    4.3e-33  119.1   0.7    5.1e-33  118.9   0.7    1.0  1  KFD15214.1      biopolymer transport protein [Serratia marces
    4.4e-33  119.1   1.6    4.9e-33  118.9   1.6    1.0  1  AMO81032.1      biopolymer transport protein ExbD [Obesumbact
    4.6e-33  119.0   0.3    5.2e-33  118.9   0.3    1.0  1  KLP54538.1      biopolymer transporter ExbD [Enterobacter gen
    4.9e-33  119.0   0.3    5.4e-33  118.8   0.3    1.0  1  PAN73342.1      TonB system transport protein ExbD [Enterobac
    5.2e-33  118.8   0.6    5.9e-33  118.7   0.6    1.0  1  KIU31458.1      biopolymer transporter ExbD [Atlantibacter he
    6.8e-33  118.5   0.5    7.6e-33  118.3   0.5    1.0  1  POT56763.1      TonB system transport protein ExbD [Citrobact
    6.9e-33  118.5   0.5    8.2e-33  118.2   0.5    1.0  1  AHF78572.1      Biopolymer transport protein [Sodalis praecap
    1.1e-32  117.8   0.2    1.3e-32  117.6   0.2    1.0  1  ACL72455.1      Biopolymer transport protein ExbD/TolR [Thioa
    1.2e-32  117.7   0.3    1.4e-32  117.4   0.3    1.0  1  AHK70542.1      biopolymer transport protein ExbD [Gluconobac
    1.3e-32  117.6   0.1    1.5e-32  117.3   0.1    1.1  1  ABC37003.1      biopolymer transport protein, ExbD/TolR famil
    1.8e-32  117.1   0.6      2e-32  116.9   0.6    1.0  1  RYJ18967.1      TonB system transport protein ExbD [Rahnella 
      2e-32  117.0   0.0    2.4e-32  116.7   0.0    1.0  1  ACL71954.1      Biopolymer transport protein ExbD/TolR [Thioa
    2.2e-32  116.8   1.0    2.5e-32  116.7   1.0    1.0  1  ACV68871.1      protein TolR [Desulfohalobium retbaense DSM 5
    2.5e-32  116.7   2.0    2.7e-32  116.5   2.0    1.0  1  ACN16141.1      TolR [Desulforapulum autotrophicum HRM2]
