assembly	organism	refAccession	refStart	refEnd	refStrand	refDesc	senseMinusThreeAccession	senseMinusThreeStart	senseMinusThreeEnd	senseMinusThreeStrand	senseMinusThreeDesc	senseMinusTwoAccession	senseMinusTwoStart	senseMinusTwoEnd	senseMinusTwoStrand	senseMinusTwoDesc	senseMinusOneAccession	senseMinusOneStart	senseMinusOneEnd	senseMinusOneStrand	senseMinusOneDesc	sensePlusOneAccession	sensePlusOneStart	sensePlusOneEnd	sensePlusOneStrand	sensePlusOneDesc	sensePlusTwoAccession	sensePlusTwoStart	sensePlusTwoEnd	sensePlusTwoStrand	sensePlusTwoDesc	sensePlusThreeAccession	sensePlusThreeStart	sensePlusThreeEnd	sensePlusThreeStrand	sensePlusThreeDesc	antisenseMinusThreeAccession	antisenseMinusThreeStart	antisenseMinusThreeEnd	antisenseMinusThreeStrand	antisenseMinusThreeDesc	antisenseMinusTwoAccession	antisenseMinusTwoStart	antisenseMinusTwoEnd	antisenseMinusTwoStrand	antisenseMinusTwoDesc	antisenseMinusOneAccession	antisenseMinusOneStart	antisenseMinusOneEnd	antisenseMinusOneStrand	antisenseMinusOneDesc	antisensePlusOneAccession	antisensePlusOneStart	antisensePlusOneEnd	antisensePlusOneStrand	antisensePlusOneDesc	antisensePlusTwoAccession	antisensePlusTwoStart	antisensePlusTwoEnd	antisensePlusTwoStrand	antisensePlusTwoDesc	antisensePlusThreeAccession	antisensePlusThreeStart	antisensePlusThreeEnd	antisensePlusThreeStrand	antisensePlusThreeDesc
GCA_000005845.2_ASM584v2	Escherichia coli str. K-12 substr. MG1655 (E. coli)	AAC73831	775153	775845	+	Tol-Pal system protein TolQ	AAC73830	774752	775156	+	esterase/thioesterase	AAC73829	774309	774602	+	PF09600 family protein YbgE	ABD18645	774196	774309	+	cytochrome bd-I accessory subunit CydX	AAC73832	775849	776277	+	Tol-Pal system protein TolR	AAC73833	776342	777607	+	Tol-Pal system protein TolA	AAC73834	777740	779032	+	Tol-Pal system periplasmic protein TolB	AAC73842	786843	787595	-	"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase"	AAC73840	784937	785317	-	PF13985 family protein YbgS	AAC73839	783882	784823	-	Zn(2(+))/Cd(2(+))/Ni(2(+))/Cu(2(+)) exporter	AAC73824	765153	765875	-	DNA-binding transcriptional repressor MngR	AYC08187	754674	754781	-	protein YbgU	QNV50521	754658	754690	-	protein YbgV
GCA_000005845.2_ASM584v2	Escherichia coli str. K-12 substr. MG1655 (E. coli)	AAC74960	1976252	1977139	-	motility protein A	AAC74963	1978518	1979021	-	IS1 family protein InsB	AAC74962	1977847	1978197	-	DNA-binding transcriptional dual regulator FlhD	AAC74961	1977266	1977844	-	DNA-binding transcriptional dual regulator FlhC	AAC74959	1975329	1976255	-	motility protein B	UMR55122	1973360	1975324	-	chemotaxis protein CheA	AAC74958	1973360	1975033	-	chemotaxis protein CheA	AAC74947	1961972	1962460	+	protein YecT	AAC74946	1960062	1961795	+	arginine--tRNA ligase	AAC74941	1953442	1954413	+	tRNA U34 carboxymethyltransferase	AAC74965	1979753	1980181	+	universal stress protein C	AAC74972	1986925	1987428	+	putative ferritin-like protein	AAC74974	1988222	1988545	+	lipoprotein YecR
GCA_000005845.2_ASM584v2	Escherichia coli str. K-12 substr. MG1655 (E. coli)	AAC76042	3151250	3151984	-	Ton complex subunit ExbB	AAC76053	3161257	3162669	-	cell division protein FtsP	AAT48161	3158927	3161146	-	radical SAM superfamily protein YgiQ	AAC76046	3154262	3155218	-	DNA-binding transcriptional activator YqhC	AAC76041	3150818	3151243	-	Ton complex subunit ExbD	AAC76038	3148977	3149471	-	UPF0114 family protein YqhA	AYC08244	3147597	3147740	-	protein YqhI	AAC76039	3149662	3150546	+	NADP(+)-dependent aldehyde reductase	AAC76037	3147897	3148937	+	L-glyceraldehyde 3-phosphate reductase	AAC76025	3138727	3139593	+	disulfide reductase/organic hydroperoxide reductase	AAC76044	3152236	3153423	+	cystathionine beta-lyase/L-cysteine desulfhydrase/alanine racemase	AAC76045	3153563	3154222	+	DedA family protein YghB	AAC76047	3155355	3156518	+	NADPH-dependent aldehyde reductase YqhD
GCA_000006765.1_ASM676v1	Pseudomonas aeruginosa PAO1 (g-proteobacteria)	AAG03587	228223	228942	+	transport protein ExbB	AAG03586	227382	228194	+	TonB2	AAG03585	225603	227039	+	"pyridine nucleotide transhydrogenase, beta subunit"	ABG56539	225295	225603	+	"putative NAD(P) transhydrogenase, subunit alpha part 2"	AAG03588	228944	229345	+	transport protein ExbD	AAG03590	229954	230535	+	hypothetical protein	AAG03596	236218	237111	+	probable transcriptional regulator	AAG03592	232066	233100	-	probable binding protein component of ABC transporter	AAG03591	230543	232000	-	probable amidase	AAG03589	229526	229738	-	hypothetical protein	AAG03581	217905	218822	-	probable transcriptional regulator	AAG03579	215550	216908	-	probable porin	AAG03575	210457	212073	-	probable permease of ABC transporter
GCA_000006765.1_ASM676v1	Pseudomonas aeruginosa PAO1 (g-proteobacteria)	AAG04082	765315	767162	+	transport protein ExbB2	AAG04081	763657	765291	+	hypothetical protein	AAG04080	762891	763493	+	hypothetical protein	AAG04079	749957	762499	+	hypothetical protein	AAG04083	767173	767592	+	transport protein ExbD	AAG04084	767601	768347	+	hypothetical protein	AAG04085	768415	770121	+	hypothetical protein	AAG04093	776787	778181	-	probable amidase	AAG04092	775400	776716	-	probable major facilitator superfamily (MFS) transporter	AAG04091	774416	775321	-	hypothetical protein	AAG04069	738111	738485	-	HxcV putative pseudopilin	AAG04067	737081	737530	-	HxcU putative pseudopilin	AAG04066	736456	737097	-	HxcW putative pseudopilin
GCA_000006765.1_ASM676v1	Pseudomonas aeruginosa PAO1 (g-proteobacteria)	AAG04358	1053848	1054543	+	TolQ protein	AAG04357	1053400	1053846	+	conserved hypothetical protein	AAG04356	1052289	1053347	+	Holliday junction DNA helicase RuvB	AAG04355	1051673	1052278	+	Holliday junction DNA helicase RuvA	AAG04359	1054566	1055006	+	TolR protein	AAG04360	1055009	1056052	+	TolA protein	AAG04361	1056049	1057347	+	TolB protein	AAG04368	1062061	1062369	-	conserved hypothetical protein	AAG04367	1061207	1062034	-	conserved hypothetical protein	AAG04366	1060510	1060833	-	hypothetical protein	AAG04351	1047549	1048019	-	probable dna-binding stress protein	AAG04350	1046720	1046911	-	probable cold-shock protein	AAG04347	1043983	1045314	-	"Basic amino acid, basic peptide and imipenem outer membrane porin OprD precursor"
GCA_000006765.1_ASM676v1	Pseudomonas aeruginosa PAO1 (g-proteobacteria)	AAG04849	1590533	1591273	+	MotC	AAG04848	1589338	1590444	+	probable methyltransferase	AAG04847	1587023	1589284	+	probable two-component sensor	AAG04846	1586034	1586822	+	chemotaxis protein CheZ	AAG04850	1591286	1592176	+	MotD	AAG04851	1592271	1593059	+	probable plasmid partitioning protein	AAG04852	1593151	1594041	+	hypothetical protein	AAG04861	1599428	1599982	-	conserved hypothetical protein	AAG04860	1599024	1599320	-	hypothetical protein	AAG04855	1595032	1595718	-	hypothetical protein	AAG04829	1569721	1570308	-	hypothetical protein	AAG04828	1569302	1569709	-	conserved hypothetical protein	AAG04823	1561919	1562632	-	hypothetical protein
GCA_000006765.1_ASM676v1	Pseudomonas aeruginosa PAO1 (g-proteobacteria)	AAG06371	3340114	3340749	-	probable tolQ-type transport protein	AAG06375	3345113	3345796	-	probable ATP-binding component of ABC transporter	AAG06374	3343799	3345100	-	conserved hypothetical protein	AAG06372	3340822	3343047	-	hypothetical protein	AAG06370	3339677	3340117	-	conserved hypothetical protein	AAG06369	3338679	3339677	-	tetraacyldisaccharide 4*-kinase	AAG06368	3338456	3338641	-	conserved hypothetical protein	AAG06364	3332881	3336054	+	ribonuclease E	AAG06360	3329045	3329623	+	conserved hypothetical protein	AAG06346	3317524	3318657	+	hypothetical protein	AAG06373	3343178	3343711	+	hypothetical protein	AAG06377	3346977	3347741	+	hypothetical protein	AAG06378	3348073	3348795	+	probable phosphodiesterase
GCA_000006765.1_ASM676v1	Pseudomonas aeruginosa PAO1 (g-proteobacteria)	AAG08339	5559021	5559872	-	chemotaxis protein MotA	AAG08349	5572222	5574486	-	topoisomerase IV subunit A	AAG08348	5571219	5571929	-	hypothetical protein	AAG08345	5567655	5568944	-	probable phosphoserine phosphatase	AAG08338	5557958	5559001	-	chemotaxis protein MotB	AAG08336	5556281	5556823	-	oligoribonuclease	AAG08334	5553572	5555080	-	conserved hypothetical protein	AAG08337	5556935	5557954	+	conserved hypothetical protein	AAG08335	5555162	5556247	+	conserved hypothetical protein	AAG08314	5530973	5533015	+	hypothetical protein	AAG08340	5560013	5561524	+	hypothetical protein	AAG08341	5561599	5562414	+	thiosulfate:cyanide sulfurtransferase	AAG08342	5562418	5563287	+	phosphatidylserine decarboxylase
GCA_000007985.2_ASM798v2	Geobacter sulfurreducens PCA (d-proteobacteria)	AAR33363	37750	38427	-	"biopolymer transport membrane proton channel, TolQ-related protein"	AAR33371	46258	47313	-	"poly-gamma-glutamate capsule biosynthesis protein, putative"	AAR33370	45706	46245	-	"2',5' RNA ligase"	AAR33364	38521	39300	-	"nitrilase/amidohydrolase superfamily protein, class 5"	AAR33362	37321	37740	-	"biopolymer transport membrane protein, TolR-related protein"	AAR33361	36584	37324	-	"periplasmic energy transduction protein, TonB-related protein"	AAR33360	35286	36584	-	"biopolymer transport periplasmic beta-propeller repeat protein, TolB-related protein"	AAR33357	33251	33586	+	twin-arginine translocation pathway protein TatB	AAR33354	30585	31463	+	pentapeptide repeat domain protein	AAR33349	22321	23205	+	DnaJ-related molecular chaperone	AAR33365	39427	40584	+	oxygen-independent coproporphyrinogen III oxidase	AAR33366	40720	41748	+	heat-inducible transcription repressor HrcA	AAR33367	41788	42390	+	DnaJ adenine nucleotide exchange factor GrpE
