feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	125	1579	+					dnaA		LCC91_00005	1455		
CDS	with_protein	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	125	1579	+	UBQ05562.1			chromosomal replication initiator protein DnaA	dnaA		LCC91_00005	1455	484	
gene	protein_coding	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	1586	2692	+					dnaN		LCC91_00010	1107		
CDS	with_protein	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	1586	2692	+	UBQ05563.1			DNA polymerase III subunit beta	dnaN		LCC91_00010	1107	368	
gene	protein_coding	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	2701	5283	+					gyrB		LCC91_00015	2583		
CDS	with_protein	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	2701	5283	+	UBQ05564.1			DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		LCC91_00015	2583	860	
gene	protein_coding	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	5366	6925	-							LCC91_00020	1560		
CDS	with_protein	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	5366	6925	-	UBQ05565.1			ATP-binding protein			LCC91_00020	1560	519	
gene	protein_coding	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	7137	8126	-					lipA		LCC91_00025	990		
CDS	with_protein	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	7137	8126	-	UBQ05566.1			lipoyl synthase	lipA		LCC91_00025	990	329	
gene	protein_coding	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	8153	8824	-					lipB		LCC91_00030	672		
CDS	with_protein	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	8153	8824	-	UBQ05567.1			lipoyl(octanoyl) transferase LipB	lipB		LCC91_00030	672	223	
gene	protein_coding	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	8821	9090	-							LCC91_00035	270		
CDS	with_protein	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	8821	9090	-	UBQ05568.1			DUF493 family protein			LCC91_00035	270	89	
gene	protein_coding	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	9244	9810	+							LCC91_00040	567		
CDS	with_protein	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	9244	9810	+	UBQ05569.1			ATP synthase subunit I			LCC91_00040	567	188	
gene	protein_coding	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	9845	10723	+					atpB		LCC91_00045	879		
CDS	with_protein	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	9845	10723	+	UBQ05570.1			F0F1 ATP synthase subunit A	atpB		LCC91_00045	879	292	
gene	protein_coding	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	10770	11015	+					atpE		LCC91_00050	246		
CDS	with_protein	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	10770	11015	+	UBQ05571.1			F0F1 ATP synthase subunit C	atpE		LCC91_00050	246	81	
gene	protein_coding	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	11132	11602	+							LCC91_00055	471		
CDS	with_protein	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	11132	11602	+	UBQ05572.1			F0F1 ATP synthase subunit B			LCC91_00055	471	156	
gene	protein_coding	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	11636	12166	+							LCC91_00060	531		
CDS	with_protein	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	11636	12166	+	UBQ05573.1			F0F1 ATP synthase subunit delta			LCC91_00060	531	176	
gene	protein_coding	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	12214	13770	+					atpA		LCC91_00065	1557		
CDS	with_protein	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	12214	13770	+	UBQ05574.1			F0F1 ATP synthase subunit alpha	atpA		LCC91_00065	1557	518	
gene	protein_coding	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	13800	14669	+					atpG		LCC91_00070	870		
CDS	with_protein	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	13800	14669	+	UBQ05575.1			F0F1 ATP synthase subunit gamma	atpG		LCC91_00070	870	289	
gene	protein_coding	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	14718	16127	+					atpD		LCC91_00075	1410		
CDS	with_protein	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	14718	16127	+	UBQ05576.1			F0F1 ATP synthase subunit beta	atpD		LCC91_00075	1410	469	
gene	protein_coding	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	16254	16670	+							LCC91_00080	417		
CDS	with_protein	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	16254	16670	+	UBQ05577.1			F0F1 ATP synthase subunit epsilon			LCC91_00080	417	138	
gene	protein_coding	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	16835	17821	+							LCC91_00085	987		
CDS	with_protein	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	16835	17821	+	UBQ06904.1			alpha/beta fold hydrolase			LCC91_00085	987	328	
gene	protein_coding	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	17856	18428	+							LCC91_00090	573		
CDS	with_protein	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	17856	18428	+	UBQ05578.1			DUF2946 family protein			LCC91_00090	573	190	
gene	protein_coding	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	18362	18838	-					aroQ		LCC91_00095	477		
CDS	with_protein	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	18362	18838	-	UBQ05579.1			type II 3-dehydroquinate dehydratase	aroQ		LCC91_00095	477	158	
gene	protein_coding	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	18851	19357	-							LCC91_00100	507		
CDS	with_protein	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	18851	19357	-	UBQ05580.1			c-type cytochrome			LCC91_00100	507	168	
gene	tRNA	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	19608	19683	+							LCC91_00105	76		
tRNA		GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	19608	19683	+				tRNA-Arg			LCC91_00105	76		anticodon=CCG
gene	protein_coding	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	20055	20198	-							LCC91_00110	144		
