# Assembly Statistics Report
# Assembly name:  ASM2140v1
# Organism name:  Borreliella burgdorferi ZS7 (Lyme disease spirochete)
# Infraspecific name:  strain=ZS7
# Taxid:          445985
# BioSample:      SAMN02603438
# BioProject:     PRJNA19839
# Submitter:      J. Craig Venter Institute
# Date:           2008-12-17
# Assembly type:  na
# Release type:   major
# Assembly level: Complete Genome
# Genome representation: full
# GenBank assembly accession: GCA_000021405.1
# RefSeq assembly accession: GCF_000021405.1
# RefSeq assembly and GenBank assemblies identical: yes
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000021415.1	GCF_000021415.1	Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	1345494
all	all	all	all	spanned-gaps	0
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	15
all	all	all	all	scaffold-N50	906707
all	all	all	all	scaffold-L50	1
all	all	all	all	scaffold-N75	36852
all	all	all	all	scaffold-N90	28885
all	all	all	all	total-gap-length	0
all	all	all	all	molecule-count	15
all	all	all	all	top-level-count	15
all	all	all	all	component-count	15
all	all	all	all	gc-perc	28.5
Primary Assembly	all	all	all	total-length	1345494
Primary Assembly	all	all	all	ungapped-length	1345494
Primary Assembly	all	all	all	scaffold-count	15
Primary Assembly	all	all	all	scaffold-N50	906707
Primary Assembly	all	all	all	spanned-gaps	0
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	28.5
Primary Assembly	all	all	assembled-molecule	total-length	1345494
Primary Assembly	all	all	assembled-molecule	ungapped-length	1345494
Primary Assembly	all	all	assembled-molecule	scaffold-count	15
Primary Assembly	all	all	assembled-molecule	scaffold-N50	906707
Primary Assembly	all	all	assembled-molecule	spanned-gaps	0
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	gc-perc	28.5
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	Chromosome	all	total-length	906707
Primary Assembly	na	Chromosome	all	ungapped-length	906707
Primary Assembly	na	Chromosome	all	scaffold-count	1
Primary Assembly	na	Chromosome	all	scaffold-N50	906707
Primary Assembly	na	Chromosome	all	spanned-gaps	0
Primary Assembly	na	Chromosome	all	unspanned-gaps	0
