feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_000012685.1	Primary Assembly	chromosome		CP000113.1	87	1439	+					dnaA		MXAN_0001	1353		
CDS	with_protein	GCA_000012685.1	Primary Assembly	chromosome		CP000113.1	87	1439	+	ABF90646.1			chromosomal replication initiator protein DnaA	dnaA		MXAN_0001	1353	450	
gene	protein_coding	GCA_000012685.1	Primary Assembly	chromosome		CP000113.1	1519	3420	+							MXAN_0002	1902		
CDS	with_protein	GCA_000012685.1	Primary Assembly	chromosome		CP000113.1	1519	3420	+	ABF93122.1			hypothetical protein			MXAN_0002	1902	633	
gene	protein_coding	GCA_000012685.1	Primary Assembly	chromosome		CP000113.1	3553	3990	-							MXAN_0003	438		
CDS	with_protein	GCA_000012685.1	Primary Assembly	chromosome		CP000113.1	3553	3990	-	ABF86638.1			CBS domain protein			MXAN_0003	438	145	
gene	protein_coding	GCA_000012685.1	Primary Assembly	chromosome		CP000113.1	4009	4620	-							MXAN_0004	612		
CDS	with_protein	GCA_000012685.1	Primary Assembly	chromosome		CP000113.1	4009	4620	-	ABF91172.1			hypothetical protein			MXAN_0004	612	203	
gene	protein_coding	GCA_000012685.1	Primary Assembly	chromosome		CP000113.1	4634	5485	-							MXAN_0005	852		
CDS	with_protein	GCA_000012685.1	Primary Assembly	chromosome		CP000113.1	4634	5485	-	ABF91414.1			putative membrane protein			MXAN_0005	852	283	
gene	pseudogene	GCA_000012685.1	Primary Assembly	chromosome		CP000113.1	5500	8561	+							MXAN_0006	3062		pseudo
gene	protein_coding	GCA_000012685.1	Primary Assembly	chromosome		CP000113.1	8667	8975	-							MXAN_0008	309		
CDS	with_protein	GCA_000012685.1	Primary Assembly	chromosome		CP000113.1	8667	8975	-	ABF86679.1			hypothetical protein			MXAN_0008	309	102	
gene	protein_coding	GCA_000012685.1	Primary Assembly	chromosome		CP000113.1	9261	10496	-							MXAN_0009	1236		
CDS	with_protein	GCA_000012685.1	Primary Assembly	chromosome		CP000113.1	9261	10496	-	ABF86434.1			transporter, major facilitator family			MXAN_0009	1236	411	
gene	protein_coding	GCA_000012685.1	Primary Assembly	chromosome		CP000113.1	10660	12276	-							MXAN_0010	1617		
CDS	with_protein	GCA_000012685.1	Primary Assembly	chromosome		CP000113.1	10660	12276	-	ABF88172.1			CapA family protein			MXAN_0010	1617	538	
gene	protein_coding	GCA_000012685.1	Primary Assembly	chromosome		CP000113.1	12409	12978	-							MXAN_0012	570		
CDS	with_protein	GCA_000012685.1	Primary Assembly	chromosome		CP000113.1	12409	12978	-	ABF92697.1			DoxD-like family protein			MXAN_0012	570	189	
