Download.script?	GenBank.ID	RefSeq	FTP.path	GenBank.accession	Flagellum	Motility	Phylum	Class	Order	Family	Genus	Species	Strain	Reference	Notes	group	spname	strain_name
Y	GCA_000022565.1	GCF_000022565.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/022/565/GCA_000022565.1_ASM2256v1	CP001472.1	Yes	Motile	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Acidobacterium	capsulatum	ATCC 51196	NA	NA	Acidobacteriota	Acidobacterium_capsulatum_ATCC_51196	Acidobacterium capsulatum ATCC 51196
NA	GCA_000191145.1	GCF_000191145.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/191/145/GCA_000191145.1_ASM19114v1	CP002177.1	NA	NA	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	pittii	PHEA-2	Purple bacteria and relatives	NA	Gamma-proteo	Acinetobacter_pittii_PHEA-2	Acinetobacter pittii PHEA-2
NA	GCA_900097105.1	GCF_900097105.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/097/105/GCA_900097105.1_WK001	LT629973.1	?	Motile	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia	glycaniphila isolate APytT	NA	NA	NA	Verrucomicrobia	Akkermansia_glycaniphila_isolate_APytT_NA	Akkermansia glycaniphila isolate APytT NA
NA	GCA_000022145.1	GCF_000022145.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/022/145/GCA_000022145.1_ASM2214v1	CP001359.1	NA	Gliding	Proteobacteria	Deltaproteobacteria	Myxococcales	Anaeromyxobacteraceae	Anaeromyxobacter	dehalogenans	2CP-1	NA	NA	Delta-proteo	Anaeromyxobacter_dehalogenans_2CP-1	Anaeromyxobacter dehalogenans 2CP-1
NA	GCA_000439775.1	GCF_000439775.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/439/775/GCA_000439775.1_ASM43977v1	CP006617.1	NA	NA	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Anaplasma	phagocytophilum	JM	NA	NA	Alpha-proteo	Anaplasma_phagocytophilum_JM	Anaplasma phagocytophilum JM
NA	GCA_007747655.1	GCF_007747655.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/747/655/GCA_007747655.1_ASM774765v1	CP036274.1	NA	NA	Planctomycetes	Planctomycetia	Pirellulales	Pirellulaceae	Anatilimnocola	aggregata	ETA_A8	NA	NA	Planctomycetes	Anatilimnocola_aggregata_ETA_A8	Anatilimnocola aggregata ETA_A8
NA	GCA_000008625.1	GCF_000008625.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/625/GCA_000008625.1_ASM862v1	AE000657.1	Yes	Motile	Aquificota	Aquificae	Aquificales	Aquificaceae	Aquifex	aeolicus	VF5	Deckert et al 1998	hyperthermophilic	Aquificota	Aquifex_aeolicus_VF5	Aquifex aeolicus VF5
NA	GCA_000008625.1	GCF_000008625.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/625/GCA_000008625.1_ASM862v1	AE000667.1	Yes	Motile	Aquificota	Aquificae	Aquificales	Aquificaceae	Aquifex	aeolicus	VF5 plasmid ece1	Deckert et al 1999	NA	Aquificota	Aquifex_aeolicus_VF5_pl_ece1	Aquifex aeolicus VF5 plasmid ece1
NA	GCA_000092245.1	GCF_000092245.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/092/245/GCA_000092245.1_ASM9224v1	CP001999.1	Yes	Motile	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Arcobacteraceae	Arcobacter	nitrofigilis	DSM 7299	NA	NA	Epsilon-proteo	Arcobacter_nitrofigilis_DSM_7299	Arcobacter nitrofigilis DSM 7299
NA	GCA_000009045.1	GCF_000009045.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/045/GCA_000009045.1_ASM904v1	AL009126.3	NA	NA	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	subtilis subsp. subtilis	168	NA	Low gc gram+	Firmicutes	Bacillus_subtilis_subsp_subtilis_168	Bacillus subtilis subsp. subtilis 168
NA	GCA_019930665.1	GCF_019930665.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/930/665/GCA_019930665.1_ASM1993066v1	CP082886.1	NA	Motile	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	nordii	FDAARGOS_1461	NA	NA	Bacteroidota	Bacteroides_nordii_FDAARGOS_1461	Bacteroides nordii FDAARGOS_1461
NA	GCA_000691605.1	GCF_000691605.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/691/605/GCA_000691605.1_ASM69160v1	CP007656.1	NA	NA	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio	bacteriovorus	HD100	Predatory	NA	Bdellovibrionota	Bdellovibrio_bacteriovorus_HD100	Bdellovibrio bacteriovorus HD100
