# Assembly name:  ASM24573v2
# Organism name:  Alishewanella jeotgali KCTC 22429 (g-proteobacteria)
# Infraspecific name:  strain=KCTC 22429
# Taxid:          1129374
# BioSample:      SAMN02470203
# BioProject:     PRJNA80431
# Submitter:      Department of Environmental Science and Ecological Engineering, Korea University
# Date:           2012-02-03
# Assembly type:  na
# Release type:   major
# Assembly level: Contig
# Genome representation: full
# WGS project:    AHTH01
# Assembly method: CLC Genomics Workbench v. 4.7.2 (CLCbio); GS assembler v. 2.5.1 (Roche)
# Genome coverage: 678.7x
# Sequencing technology: 454 GS FLX; Illumina GA IIx
# Relation to type material: assembly from type material
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_000245735.2
# RefSeq assembly accession: GCF_000245735.1
# RefSeq assembly and GenBank assemblies identical: yes
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000245745.2	GCF_000245745.1	Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
contig065	unplaced-scaffold	na	na	AHTH01000065.1	=	NZ_AHTH01000065.1	Primary Assembly	36623	na
contig064	unplaced-scaffold	na	na	AHTH01000064.1	=	NZ_AHTH01000064.1	Primary Assembly	19030	na
contig063	unplaced-scaffold	na	na	AHTH01000063.1	=	NZ_AHTH01000063.1	Primary Assembly	6421	na
contig062	unplaced-scaffold	na	na	AHTH01000062.1	=	NZ_AHTH01000062.1	Primary Assembly	28939	na
contig061	unplaced-scaffold	na	na	AHTH01000061.1	=	NZ_AHTH01000061.1	Primary Assembly	1483	na
contig060	unplaced-scaffold	na	na	AHTH01000060.1	=	NZ_AHTH01000060.1	Primary Assembly	18242	na
contig059	unplaced-scaffold	na	na	AHTH01000059.1	=	NZ_AHTH01000059.1	Primary Assembly	6765	na
contig058	unplaced-scaffold	na	na	AHTH01000058.1	=	NZ_AHTH01000058.1	Primary Assembly	3279	na
contig057	unplaced-scaffold	na	na	AHTH01000057.1	=	NZ_AHTH01000057.1	Primary Assembly	2621	na
contig056	unplaced-scaffold	na	na	AHTH01000056.1	=	NZ_AHTH01000056.1	Primary Assembly	7721	na
contig055	unplaced-scaffold	na	na	AHTH01000055.1	=	NZ_AHTH01000055.1	Primary Assembly	134428	na
contig054	unplaced-scaffold	na	na	AHTH01000054.1	=	NZ_AHTH01000054.1	Primary Assembly	13354	na
contig053	unplaced-scaffold	na	na	AHTH01000053.1	=	NZ_AHTH01000053.1	Primary Assembly	9934	na
contig052	unplaced-scaffold	na	na	AHTH01000052.1	=	NZ_AHTH01000052.1	Primary Assembly	1483	na
contig051	unplaced-scaffold	na	na	AHTH01000051.1	=	NZ_AHTH01000051.1	Primary Assembly	55182	na
contig050	unplaced-scaffold	na	na	AHTH01000050.1	=	NZ_AHTH01000050.1	Primary Assembly	59657	na
contig049	unplaced-scaffold	na	na	AHTH01000049.1	=	NZ_AHTH01000049.1	Primary Assembly	138020	na
contig048	unplaced-scaffold	na	na	AHTH01000048.1	=	NZ_AHTH01000048.1	Primary Assembly	260149	na
