# hmmsearch :: search profile(s) against a sequence database
# HMMER 3.3.2 (Nov 2020); http://hmmer.org/
# Copyright (C) 2020 Howard Hughes Medical Institute.
# Freely distributed under the BSD open source license.
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# query HMM file:                  IPR006665.hmm
# target sequence database:        /Users/nmat471/Downloads/z_genomes_wLitLinks_processing/genomes_wLitLinks+4+22.fasta
# MSA of all hits saved to file:   IPR006665_MotB_ExbD_TolR_hits_alned1.sto
# per-seq hits tabular output:     IPR006665_MotB_ExbD_TolR_seqHitsTable1.txt
# show alignments in output:       no
# domain inclusion threshold:      E-value <= 2
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -

Query:       OmpA  [M=95]
Accession:   PF00691.23
Description: OmpA family
Scores for complete sequences (score includes all domains):
   --- full sequence ---   --- best 1 domain ---    -#dom-
    E-value  score  bias    E-value  score  bias    exp  N  Sequence       Description
    ------- ------ -----    ------- ------ -----   ---- --  --------       -----------
    9.2e-50  171.9   5.5    1.4e-23   88.0   1.2    2.3  2  ACH38395.1      peptidoglycan-binding outer membrane protein,
      3e-49  170.3   0.8    2.8e-23   87.0   0.1    2.2  2  ACH37417.1      peptidoglycan-binding outer membrane protein,
    6.6e-27   98.7   0.0    1.3e-26   97.7   0.0    1.5  1  ACN16810.1      OmpF [Desulforapulum autotrophicum HRM2]
    4.4e-26   96.0   1.3    7.3e-26   95.3   1.3    1.3  1  AAF95357.1      outer membrane protein OmpA [Vibrio cholerae 
    4.5e-26   96.0   1.9    1.7e-24   90.9   0.0    2.2  2  ACV68563.1      OmpA/MotB domain protein [Desulfohalobium ret
    5.1e-26   95.8   0.2      8e-26   95.2   0.2    1.3  1  EAS76693.1      outer membrane protein OmpA [Vibrio alginolyt
    5.9e-26   95.6   0.1    9.8e-26   94.9   0.1    1.4  1  ACH37084.1      peptidoglycan-binding lipoprotein, OmpA famil
    7.3e-26   95.3   0.1    1.2e-25   94.6   0.1    1.3  1  ACM92791.1      major outer membrane protein [Nautilia profun
    7.4e-26   95.3   1.1    1.7e-25   94.1   0.0    2.0  1  AAY36367.1      OmpA/MotB [Pseudomonas syringae pv. syringae 
    8.2e-26   95.1   0.4    1.4e-25   94.4   0.4    1.4  1  ACM92849.1      thrombospondin type 3 repeat:OmpA/MotB [Nauti
    1.8e-25   94.1   0.3    3.2e-25   93.2   0.3    1.4  1  AAM40733.1      outer membrane protein [Xanthomonas campestri
      2e-25   93.9   0.3      2e-25   93.9   0.3    2.2  1  ADP98598.1      OmpA/MotB domain protein [Marinobacter adhaer
      4e-25   92.9   0.2    7.1e-25   92.1   0.2    1.4  1  AGH76987.1      OmpA family protein [Xanthomonas axonopodis X
    4.6e-25   92.7   0.6      8e-25   92.0   0.6    1.4  1  EAS75786.1      outer membrane protein OmpA [Vibrio alginolyt
    5.1e-25   92.6   0.2    5.1e-25   92.6   0.2    2.2  1  ABY97015.1      OmpA/MotB domain protein [Pseudomonas putida 
    5.8e-25   92.4   0.4    5.8e-25   92.4   0.4    2.3  1  EHJ04920.1      OmpA/MotB domain-containing protein [Marinoba
      6e-25   92.4   0.2    9.8e-25   91.7   0.2    1.3  1  ABS61895.1      OmpA/MotB domain protein [Parvibaculum lavame
    7.1e-25   92.1   0.3    1.1e-24   91.5   0.3    1.3  1  ABC44333.1      OmpA family protein [Salinibacter ruber DSM 1
    7.7e-25   92.0   0.2    1.1e-24   91.6   0.2    1.2  1  AAV82403.1      Outer membrane protein and related peptidogly
    8.1e-25   91.9   0.9    6.4e-23   85.9   0.1    2.3  2  ABC36642.1      OmpA domain protein [Burkholderia thailandens
      9e-25   91.8   0.2    1.2e-24   91.4   0.2    1.1  1  ABZ00183.1      OmpA/MotB domain protein [Pseudomonas putida 
      9e-25   91.8   0.0    1.7e-24   90.9   0.0    1.4  1  SHI58025.1      Outer membrane protein OmpA [Desulfatibacillu
      1e-24   91.6   2.1    1.7e-24   90.9   2.1    1.3  1  EEW07278.1      outer membrane protein OmpA [Vibrio mimicus V
    1.2e-24   91.4   0.1    2.8e-24   90.2   0.1    1.6  1  ABA89405.1      peptidoglycan-binding inner membrane lipoprot
    1.2e-24   91.4   0.0    1.8e-24   90.9   0.0    1.2  1  ABA58985.1      OmpA/MotB [Nitrosococcus oceani ATCC 19707]
    1.4e-24   91.2   0.0    2.1e-24   90.6   0.0    1.3  1  AOP59470.1      peptidoglycan-associated lipoprotein [Pseudom
    1.4e-24   91.2   0.0    2.1e-24   90.6   0.0    1.3  1  AOP59470.1      peptidoglycan-associated lipoprotein [Pseudom
    2.9e-24   90.2   0.1    4.5e-24   89.6   0.1    1.3  1  ACH37336.1      peptidoglycan-binding protein, OmpA family [C
      3e-24   90.1   0.1    4.3e-24   89.6   0.1    1.2  1  BAK64992.1      OmpA family protein [Sphingobium sp. SYK-6]|G
    3.4e-24   90.0   0.6    1.1e-23   88.3   0.4    1.8  1  AOP58672.1      porin [Pseudomonas aeruginosa]
    3.4e-24   90.0   0.6    1.1e-23   88.3   0.4    1.8  1  AOP58672.1      porin [Pseudomonas aeruginosa]|GCA_001729505.
    3.5e-24   89.9   0.2      1e-23   88.4   0.0    1.7  1  GAC25462.1      peptidoglycan-associated lipoprotein [Paragla
    3.5e-24   89.9   0.7    6.5e-24   89.1   0.7    1.4  1  WP_027181340.1  OmpA family protein [Oleidesulfovibrio alaske
    3.9e-24   89.8   1.2    1.3e-22   84.9   0.1    2.3  2  CAH37110.1      putative outer membrane protein [Burkholderia
    3.9e-24   89.8   0.2    5.4e-24   89.3   0.2    1.2  1  ABZ00184.1      OmpA/MotB domain protein [Pseudomonas putida 
    4.3e-24   89.6   0.1    6.2e-24   89.1   0.1    1.2  1  ADP98319.1      OmpA/MotB domain protein [Marinobacter adhaer
    4.3e-24   89.6   0.1    6.2e-24   89.1   0.1    1.2  1  EHJ04152.1      OmpA/MotB domain-containing protein [Marinoba
    4.4e-24   89.6   0.0    8.6e-24   88.7   0.0    1.5  1  ACN13490.1      OmpA1 [Desulforapulum autotrophicum HRM2]
    4.4e-24   89.6   0.2    6.6e-24   89.0   0.2    1.3  1  AAZ98407.1      outer membrane protein [Thiobacillus denitrif
    4.7e-24   89.5   0.0    7.1e-24   88.9   0.0    1.3  1  ABZ00084.1      peptidoglycan-associated lipoprotein [Pseudom
    4.9e-24   89.5   0.2    7.2e-24   88.9   0.2    1.2  1  CAJ48955.1      outer membrane protein A [Bordetella avium 19
    5.2e-24   89.3   0.0      1e-23   88.4   0.0    1.5  1  GAA03691.1      peptidoglycan-associated lipoprotein [Photoba
    5.2e-24   89.3   0.0      1e-23   88.4   0.0    1.5  1  PHZ59002.1      peptidoglycan-associated lipoprotein [Photoba
    5.5e-24   89.3   1.1    1.4e-23   87.9   0.1    2.1  1  AOP56770.1      hypothetical protein BGV84_06435 [Pseudomonas
    5.5e-24   89.3   1.1    1.4e-23   87.9   0.1    2.1  1  AOP56770.1      hypothetical protein BGV84_06435 [Pseudomonas
    6.7e-24   89.0   0.6    1.1e-23   88.3   0.6    1.3  1  BAC97133.1      outer membrane protein [Vibrio vulnificus YJ0
    6.8e-24   89.0   1.2    2.4e-23   87.2   0.5    2.2  1  AAS69213.1      peptidoglycan-associated cytoplasmic membrane
    8.2e-24   88.7   0.0    1.4e-23   88.0   0.0    1.4  1  KGT93586.1      membrane protein [Enterobacter cancerogenus]
    8.6e-24   88.7   0.4    1.2e-23   88.2   0.4    1.2  1  AOP59402.1      hypothetical protein BGV84_20115 [Pseudomonas
    8.6e-24   88.7   0.4    1.2e-23   88.2   0.4    1.2  1  AOP59402.1      hypothetical protein BGV84_20115 [Pseudomonas
    9.7e-24   88.5   0.4    1.4e-23   88.0   0.4    1.2  1  PAN67876.1      OmpA family lipoprotein [Enterobacter cloacae
    9.9e-24   88.5   1.1    3.3e-22   83.6   0.1    2.3  2  AAU47985.1      OmpA domain protein [Burkholderia mallei ATCC
      1e-23   88.4   0.2    1.2e-22   85.0   0.1    2.1  1  RYJ16522.1      porin OmpA [Rahnella variigena]
      1e-23   88.4   0.5    3.1e-23   86.9   0.1    2.0  1  ABY99660.1      OmpA/MotB domain protein [Pseudomonas putida 
    1.1e-23   88.4   1.5    2.3e-23   87.3   0.2    2.1  1  EGW21477.1      OmpA/MotB domain protein [Methylobacter tundr
    1.1e-23   88.4   0.0    1.1e-23   88.4   0.0    1.8  1  AFS36763.1      peptidoglycan-associated lipoprotein [Alterom
    1.1e-23   88.3   0.0    2.1e-23   87.4   0.0    1.5  1  AAZ96080.1      outer membrane protein [Thiobacillus denitrif
    1.2e-23   88.2   0.0    1.8e-23   87.6   0.0    1.2  1  AAZ98748.1      outer membrane protein [Thiobacillus denitrif
    1.2e-23   88.2   0.4    3.8e-23   86.6   0.2    1.8  1  AAY37140.1      Thrombospondin type 3 repeat:OmpA/MotB:OmpF [
    1.3e-23   88.1   0.2    2.6e-23   87.1   0.1    1.5  1  ABC38319.1      OmpA family protein [Burkholderia thailandens
    1.3e-23   88.0   0.0    2.2e-23   87.3   0.0    1.4  1  TCZ30137.1      porin OmpA [Pantoea agglomerans]
    1.4e-23   87.9   0.2    2.8e-23   87.0   0.1    1.5  1  AAU48811.1      OmpA family protein [Burkholderia mallei ATCC
    1.4e-23   87.9   0.2    2.8e-23   87.0   0.1    1.5  1  CAH36529.1      outer membrane protein a precursor [Burkholde
    1.4e-23   87.9   0.0    2.5e-23   87.2   0.0    1.4  1  EHR39779.1      hypothetical protein AJE_15739 [Alishewanella
    1.5e-23   87.9   0.1    2.4e-23   87.2   0.1    1.3  1  KFD14752.1      OmpA/MotB family outer membrane protein [Serr
    1.5e-23   87.9   0.7    2.1e-23   87.4   0.7    1.2  1  CAQ70360.1      putative outer membrane lipoprotein [Cupriavi
    1.5e-23   87.9   0.0    2.5e-23   87.2   0.0    1.3  1  ADZ90891.1      OmpA/MotB domain protein [Marinomonas mediter
    1.5e-23   87.9   0.2    2.4e-23   87.2   0.2    1.3  1  AOP59610.1      cell envelope biogenesis protein OmpA [Pseudo
    1.5e-23   87.9   0.2    2.4e-23   87.2   0.2    1.3  1  AOP59610.1      cell envelope biogenesis protein OmpA [Pseudo
    1.6e-23   87.8   0.1    2.3e-23   87.3   0.1    1.2  1  ADZ93227.1      OmpA/MotB domain protein [Marinomonas mediter
    1.6e-23   87.8   0.0    2.4e-23   87.2   0.0    1.2  1  AAY36467.1      OmpA/MotB [Pseudomonas syringae pv. syringae 
    1.7e-23   87.7   1.1    2.2e-23   87.3   0.1    1.7  1  EGW21148.1      OmpA/MotB domain protein [Methylobacter tundr
    1.7e-23   87.7   1.1    3.5e-23   86.7   0.0    1.9  1  AAW85458.1      peptidoglycan-associated outer membrane lipop
    2.1e-23   87.4   0.3    4.4e-23   86.4   0.3    1.6  1  ABY96722.1      OmpA/MotB domain protein [Pseudomonas putida 
    2.1e-23   87.4   0.3    3.4e-23   86.8   0.3    1.3  1  ACL72552.1      OmpA/MotB domain protein [Thioalkalivibrio su
    2.4e-23   87.2   0.0    4.3e-23   86.4   0.0    1.4  1  ARU97588.1      porin OmpA [Tatumella citrea]
    2.8e-23   87.0   0.1    4.4e-23   86.4   0.1    1.3  1  CAG20928.1      putative peptidoglycan-associated lipoprotein
    2.8e-23   87.0   0.0    4.8e-23   86.3   0.0    1.4  1  KTR97383.1      membrane protein [Pantoea dispersa]
    2.8e-23   87.0   0.1    5.5e-23   86.1   0.1    1.5  1  CCQ12283.1      18K peptidoglycan-associated outer membrane l
      3e-23   86.9   0.0    5.4e-23   86.1   0.0    1.4  1  KGT94218.1      membrane protein [Erwinia typographi]
      3e-23   86.9   0.2    6.2e-23   85.9   0.2    1.5  1  EED70203.1      OmpA/MotB domain protein [Comamonas testoster
    3.2e-23   86.8   0.4    4.6e-23   86.3   0.4    1.2  1  KLR25056.1      membrane protein [Enterobacter bugandensis]
    3.2e-23   86.8   0.0    5.7e-23   86.0   0.0    1.4  1  GHD93129.1      outer membrane protein A [Pseudocitrobacter f
    3.3e-23   86.8   2.7    9.2e-23   85.4   0.0    2.7  1  ABA58502.1      OmpA/MotB [Nitrosococcus oceani ATCC 19707]
    3.3e-23   86.8   0.0    5.7e-23   86.0   0.0    1.4  1  ORM99273.1      porin OmpA [Pantoea septica]
    3.4e-23   86.7   0.3    6.4e-23   85.9   0.3    1.4  1  EED68620.1      OmpA/MotB domain protein [Comamonas testoster
    3.4e-23   86.7   0.3    7.4e-23   85.7   0.3    1.6  1  AAS69158.1      peptidoglycan associated periplasmic protein 
    3.5e-23   86.7   0.0    6.3e-23   85.9   0.0    1.4  1  AMO81998.1      hypothetical protein DSM2777_13765 [Obesumbac
    3.7e-23   86.6   0.1    6.2e-23   85.9   0.1    1.4  1  CAE09365.1      CADF PRECURSOR [Wolinella succinogenes]
    3.9e-23   86.6   0.0    7.4e-23   85.7   0.0    1.5  1  EHM38878.1      outer membrane protein A [Hafnia alvei ATCC 5
