"i"	"protID"	"spname"	"group"	"assembly"	"symM3"	"symM2"	"symM1"	"sym0"	"sym1"	"sym2"	"sym3"	"strandM3"	"strandM2"	"strandM1"	"strand0"	"strand1"	"strand2"	"strand3"	"accM3"	"accM2"	"accM1"	"acc0"	"acc1"	"acc2"	"acc3"	"nameM3"	"nameM2"	"nameM1"	"name0"	"name1"	"name2"	"name3"	"prot_feature_tables_all_fn"
"1"	"1"	"ABF87376.1"	"Myxococcus_xanthus_DK_1622"	"Delta-proteo"	"GCA_000012685.1"	""	""	""	""	""	""	""	"+"	"+"	"+"	"+"	"+"	"+"	"-"	"ABF90596.1"	"ABF88559.1"	"ABF88835.1"	"ABF87376.1"	"ABF88211.1"	"ABF86827.1"	"ABF87611.1"	"putative lipoprotein"	"LysM domain protein"	"putative DNA protecting protein DprA/DNA topoisomerase I"	"MotA/TolQ/ExbB proton channel family protein"	"conserved hypothetical protein"	"hypothetical protein"	"DksA-like protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"2"	"2"	"UEO02151.1"	"Myxococcus_xanthus_DZ2"	"Delta-proteo"	"GCA_020827275.1"	""	""	"topA"	""	""	""	""	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"UEO02154.1"	"UEO02153.1"	"UEO02152.1"	"UEO02151.1"	"UEO02150.1"	"UEO02149.1"	"UEO02148.1"	"tetratricopeptide repeat protein"	"LysM peptidoglycan-binding domain-containing protein"	"type I DNA topoisomerase"	"MotA/TolQ/ExbB proton channel family protein"	"biopolymer transporter ExbD"	"biopolymer transporter ExbD"	"TraR/DksA family transcriptional regulator"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"3"	"3"	"AFE07994.1"	"Corallococcus_coralloides_DSM_2259"	"Delta-proteo"	"GCA_000255295.1"	""	"dprA"	"topA"	"aglR1"	""	""	""	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"AFE06169.1"	"AFE08631.1"	"AFE10522.1"	"AFE07994.1"	"AFE06168.1"	"AFE06167.1"	"AFE06166.1"	"LysM domain-containing protein"	"DNA processing chain A"	"putative DNA protecting protein DprA/DNA topoisomerase I"	"MotA/TolQ/ExbB proton channel family protein"	"hypothetical protein"	"hypothetical protein"	"DksA-like protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"4"	"4"	"ADO72879.1"	"Stigmatella_aurantiaca_DW4-3-1"	"Delta-proteo"	"GCA_000165485.1"	""	""	""	""	""	""	""	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"ADO72882.1"	"ADO72881.1"	"ADO72880.1"	"ADO72879.1"	"ADO72878.1"	"ADO72877.1"	"ADO72876.1"	"LysM domain protein"	"SMF family protein"	"topoisomerase"	"MotA/TolQ/ExbB proton channel family protein"	"conserved uncharacterized protein"	"conserved uncharacterized protein"	"conserved uncharacterized protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"5"	"5"	"AUX22204.1"	"Sorangium_cellulosum_So_ceGT47"	"Delta-proteo"	"GCA_004135735.1"	""	""	"motA"	"motA"	""	""	""	"+"	"+"	"+"	"-"	"-"	"-"	"+"	"AUX22207.1"	"AUX22206.1"	"AUX22205.1"	"AUX22204.1"	"AUX22203.1"	"AUX22202.1"	"AUX22201.1"	"hypothetical protein"	"biopolymer transporter"	"flagellar motor protein MotA"	"flagellar motor protein MotA"	"TolR-like protein"	"adventurous gliding motility protein"	"hypothetical protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"6"	"6"	"AWV89791.1"	"Bradymonas_sediminis_FA350"	"Delta-proteo"	"GCA_003258315.1"	""	""	""	""	""	""	""	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"AWV89794.1"	"AWV89793.1"	"AWV89792.1"	"AWV89791.1"	"AWV89790.1"	"AWV89789.1"	"AWV89788.1"	"hypothetical protein"	"hypothetical protein"	"hypothetical protein"	"MotA/TolQ/ExbB proton channel family protein"	"hypothetical protein"	"hypothetical protein"	"hypothetical protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"7"	"7"	"QQS05296.1"	"Fibrobacter_spFred_18-Q3-R57-64_MAXAC109_cln"	"Fibrobacteres"	"GCA_016699655.1"	""	""	""	""	""	""	""	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"QQS05299.1"	"QQS05298.1"	"QQS05297.1"	"QQS05296.1"	"QQS05295.1"	"QQS05294.1"	"QQS05293.1"	"hypothetical protein"	"tetratricopeptide repeat protein"	"hypothetical protein"	"MotA/TolQ/ExbB proton channel family protein"	"biopolymer transporter ExbD"	"biopolymer transporter ExbD"	"energy transducer TonB"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"8"	"8"	"AHZ84037.1"	"Bdellovibrio_bacteriovorus_HD100"	"Bdellovibrionota"	"GCA_000691605.1"	""	""	""	""	""	""	""	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"AHZ84040.1"	"AHZ84039.1"	"AHZ84038.1"	"AHZ84037.1"	"AHZ84036.1"	"AHZ84035.1"	"AHZ84034.1"	"tetrapyrrole methylase"	"hypothetical protein"	"hypothetical protein"	"adventurous gliding motility protein R"	"TolR-like protein"	"adventurous gliding motility protein S"	"adventurous gliding motility protein U"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"9"	"9"	"AWV89461.1"	"Bradymonas_sediminis_FA350"	"Delta-proteo"	"GCA_003258315.1"	"secG"	""	""	""	""	""	""	"-"	"+"	"+"	"+"	"+"	"+"	"+"	"AWV89458.1"	"AWV89459.1"	"AWV89460.1"	"AWV89461.1"	"AWV89462.1"	"AWV89463.1"	"AWV89464.1"	"preprotein translocase subunit SecG"	"hypothetical protein"	"hypothetical protein"	"MotA/TolQ/ExbB proton channel family protein"	"hypothetical protein"	"hypothetical protein"	"hypothetical protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"10"	"10"	"UEO05650.1"	"Myxococcus_xanthus_DZ2"	"Delta-proteo"	"GCA_020827275.1"	""	""	""	""	""	""	""	"+"	"-"	"-"	"+"	"+"	"+"	"+"	"UEO08388.1"	"UEO05648.1"	"UEO05649.1"	"UEO05650.1"	"UEO05651.1"	"UEO05652.1"	"UEO05653.1"	"PAS domain S-box protein"	"bifunctional methionine sulfoxide reductase B/A protein"	"general secretion pathway protein GspE"	"MotA/TolQ/ExbB proton channel family protein"	"biopolymer transporter ExbD"	"biopolymer transporter ExbD"	"HAD family hydrolase"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
